time,id,pos,sugar,age,vision,metabolism,sex,children,has_reproduced,total_inheritance_received,last_partner_id,last_credit_partner,last_combat_partner,chose_not_to_attack,chose_not_to_reproduce,schwartz_values
0,19,"(48, 27)",22.0,0,4,2,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.31f0, stimulation = 0.34f0, hedonism = -0.62f0, achievement = -0.69f0, power = 0.53f0, security = 0.68f0, conformity = 0.4f0, tradition = -1.01f0, benevolence = 0.26f0, universalism = -0.2f0)"
0,20,"(13, 9)",14.0,0,4,1,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.65f0, stimulation = -1.03f0, hedonism = -1.16f0, achievement = -0.04f0, power = -0.73f0, security = 0.19f0, conformity = -0.09f0, tradition = 0.23f0, benevolence = 0.95f0, universalism = 1.02f0)"
0,21,"(6, 20)",24.0,0,4,1,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.17f0, stimulation = -1.22f0, hedonism = -0.81f0, achievement = -1.63f0, power = -0.47f0, security = 0.69f0, conformity = 1.22f0, tradition = 0.23f0, benevolence = 1.42f0, universalism = 0.39f0)"
0,22,"(20, 18)",25.0,0,1,3,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.5f0, stimulation = -0.49f0, hedonism = -1.22f0, achievement = 0.28f0, power = -1.46f0, security = 1.58f0, conformity = -1.16f0, tradition = -1.26f0, benevolence = 1.87f0, universalism = 1.36f0)"
0,23,"(31, 2)",23.0,0,2,1,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = -0.56f0, stimulation = 0.36f0, hedonism = -0.43f0, achievement = 0.77f0, power = 0.63f0, security = 0.56f0, conformity = -0.1f0, tradition = -0.38f0, benevolence = -0.94f0, universalism = 0.08f0)"
0,24,"(12, 50)",14.0,0,6,2,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.49f0, stimulation = -0.67f0, hedonism = 0.54f0, achievement = -0.76f0, power = -0.09f0, security = 0.93f0, conformity = -1.22f0, tradition = -0.26f0, benevolence = 0.64f0, universalism = 0.39f0)"
0,25,"(10, 9)",18.0,0,2,3,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 1.87f0, stimulation = -0.88f0, hedonism = -1.47f0, achievement = -0.06f0, power = -2.45f0, security = 0.46f0, conformity = -0.23f0, tradition = 0.25f0, benevolence = 0.99f0, universalism = 1.52f0)"
0,26,"(44, 18)",19.0,0,2,3,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.73f0, stimulation = -0.3f0, hedonism = 0.47f0, achievement = 0.5f0, power = -0.98f0, security = 1.51f0, conformity = -1.14f0, tradition = -1.39f0, benevolence = -0.16f0, universalism = 0.75f0)"
0,27,"(37, 1)",25.0,0,1,3,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = -0.72f0, stimulation = 0.26f0, hedonism = 0.89f0, achievement = -0.28f0, power = 0.26f0, security = 0.47f0, conformity = -0.7f0, tradition = -0.06f0, benevolence = 0.17f0, universalism = -0.29f0)"
0,28,"(26, 19)",5.0,0,2,4,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.49f0, stimulation = -1.2f0, hedonism = -0.25f0, achievement = -1.04f0, power = -0.6f0, security = 1.06f0, conformity = 0.16f0, tradition = -1.89f0, benevolence = 1.85f0, universalism = 1.41f0)"
0,29,"(43, 15)",14.0,0,5,4,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.1f0, stimulation = -1.22f0, hedonism = -0.66f0, achievement = -0.13f0, power = -0.92f0, security = 0.24f0, conformity = -0.02f0, tradition = 0.77f0, benevolence = 1.33f0, universalism = 0.51f0)"
0,30,"(17, 36)",19.0,0,2,3,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 1.04f0, stimulation = -1.22f0, hedonism = -1.65f0, achievement = -1.88f0, power = -1.28f0, security = 0.41f0, conformity = 1.76f0, tradition = 0.57f0, benevolence = 1.71f0, universalism = 0.54f0)"
0,31,"(19, 39)",20.0,0,5,2,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.58f0, stimulation = 0.68f0, hedonism = 0.47f0, achievement = 0.82f0, power = 1.06f0, security = -0.68f0, conformity = -1.34f0, tradition = -0.72f0, benevolence = -0.44f0, universalism = -0.42f0)"
0,32,"(25, 41)",16.0,0,2,4,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 1.53f0, stimulation = 0.02f0, hedonism = 0.8f0, achievement = -0.26f0, power = -1.61f0, security = 0.4f0, conformity = -1.48f0, tradition = -0.71f0, benevolence = 1.21f0, universalism = 0.12f0)"
0,33,"(26, 2)",7.0,0,2,4,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.73f0, stimulation = -1.35f0, hedonism = -0.04f0, achievement = -1.07f0, power = -1.33f0, security = 0.54f0, conformity = 0.45f0, tradition = 0.03f0, benevolence = 1.51f0, universalism = 0.53f0)"
0,34,"(5, 33)",24.0,0,1,4,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.37f0, stimulation = -0.87f0, hedonism = -0.28f0, achievement = 0.24f0, power = -0.81f0, security = 0.35f0, conformity = -0.35f0, tradition = 0.36f0, benevolence = 0.68f0, universalism = 0.3f0)"
0,35,"(31, 50)",13.0,0,4,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.55f0, stimulation = -0.15f0, hedonism = 1.16f0, achievement = -0.24f0, power = -0.19f0, security = 1.06f0, conformity = -0.5f0, tradition = -1.22f0, benevolence = -0.18f0, universalism = -0.27f0)"
0,36,"(43, 42)",6.0,0,1,1,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.85f0, stimulation = -0.27f0, hedonism = 0.76f0, achievement = -0.77f0, power = -1.08f0, security = 0.46f0, conformity = -1.34f0, tradition = -1.03f0, benevolence = 1.65f0, universalism = 0.78f0)"
0,37,"(24, 8)",5.0,0,6,3,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = -0.62f0, stimulation = -1.94f0, hedonism = -0.58f0, achievement = -0.01f0, power = 0.59f0, security = 0.22f0, conformity = 1.11f0, tradition = 1.82f0, benevolence = -0.34f0, universalism = -0.25f0)"
0,38,"(38, 17)",17.0,0,2,1,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = -0.12f0, stimulation = -0.22f0, hedonism = -0.5f0, achievement = -0.01f0, power = -3.33f0, security = 2.02f0, conformity = 0.22f0, tradition = 0.36f0, benevolence = 1.69f0, universalism = -0.12f0)"
0,39,"(9, 24)",15.0,0,1,1,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.96f0, stimulation = -0.79f0, hedonism = -0.62f0, achievement = -0.51f0, power = -1.25f0, security = -1.53f0, conformity = 0.74f0, tradition = 0.96f0, benevolence = 1.17f0, universalism = 0.85f0)"
