time;nagents;births;deaths_age;deaths_starvation;combat_kills;calculate_total_credit_outstanding;calculate_credit_default_rate;calculate_decision_entropy;calculate_gini_coefficient;calculate_pareto_alpha;calculate_mean_lifespan;calculate_lifespan_inequality;calculate_cultural_entropy;calculate_spatial_segregation;calculate_clustering_coefficient;count_red_tribe;count_blue_tribe;calculate_factional_clustering_blue_attack_rate;calculate_factional_clustering_blue_initiated_attacks;calculate_factional_clustering_red_attack_rate;calculate_factional_clustering_red_initiated_attacks;calculate_factional_clustering_total_attacks;calculate_cultural_initiation_by_tribe_blue_initiated_transmissions;calculate_cultural_initiation_by_tribe_red_initiated_transmissions;calculate_cultural_initiation_by_tribe_total_transmissions;calculate_cultural_diversity_diversity_ratio
21;14;2;0;25;13;24.0;0.0;0.0;0.42440119760479056;3.274369744489234;18.142857142857142;0.13554555680539937;2.5400363038209806;0.0;0.0;8;6;1.0;1.0;0.0;0.0;1.0;0.0;2.0;2.0;0.00634765625
22;14;2;0;25;13;24.0;0.0;0.0;0.4222199083715119;3.3532704762214385;19.142857142857142;0.12846481876332616;2.4410152780267027;0.0;0.0;8;6;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.005859375
23;15;3;0;25;13;24.0;0.0;0.0;0.4292613636363636;3.6731326776500826;18.8;0.18061465721040193;2.5232109529528914;0.0;0.0;9;6;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.00634765625
24;14;3;0;26;13;24.0;0.0;0.0;0.385457774269929;3.72516051261314;19.5;0.18341182626896924;2.441015278026703;0.0;0.0;8;6;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.005859375
25;14;3;0;26;13;24.0;0.6666666666666666;0.0;0.37822487485560274;3.8678956954224426;20.5;0.1744649079143854;2.341994252232425;0.0;0.0;8;6;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;0.00537109375
26;15;4;0;26;13;24.0;1.0;0.0;0.3992146596858639;4.246204996580941;20.066666666666666;0.22192691029900335;2.5232109529528914;0.0;0.0;8;7;0.0;0.0;0.0;0.0;0.0;2.0;1.0;3.0;0.00634765625
27;15;4;0;26;13;24.0;1.0;0.0;0.3934010152284264;4.294310174264641;21.066666666666666;0.21139240506329116;2.3034884952192693;0.0;0.0;8;7;0.0;0.0;0.0;0.0;0.0;1.0;3.0;4.0;0.00537109375
28;15;4;0;26;13;10.0;1.0;0.0;0.40291922919229184;4.167411922129732;22.066666666666666;0.20181268882175218;2.3034884952192693;0.0;0.0;8;7;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.00537109375
29;15;4;0;26;13;10.0;1.0;0.0;0.39916966067864257;4.214688760262201;23.066666666666666;0.19306358381502897;2.3034884952192693;0.0;0.0;8;7;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.00537109375
30;15;4;0;26;13;10.0;1.0;0.0;0.3937054263565891;4.261558765679332;24.066666666666666;0.18504155124653732;2.2459520807289133;0.0;0.0;8;7;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.00537109375
31;15;4;0;26;13;10.0;1.0;0.0;0.3871181339352896;4.308012607346226;25.066666666666666;0.1776595744680851;2.2459520807289133;0.0;0.0;8;7;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.00537109375
32;14;4;0;27;13;0.0;0.0;0.0;0.3359138943248534;4.35404326779978;25.642857142857142;0.1816553919617987;2.2429732264381474;0.0;0.0;7;7;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.00537109375
33;15;5;0;27;13;0.0;0.0;0.0;0.33626397019691323;5.113396687657183;24.866666666666667;0.22984807864164436;2.2459520807289133;0.0;0.0;8;7;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.00537109375
34;15;5;0;27;13;0.0;0.0;0.0;0.32846670108415066;5.161378025130289;25.866666666666667;0.22096219931271488;2.2459520807289133;0.0;0.0;8;7;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.00537109375
35;15;6;0;27;14;0.0;0.0;0.0;0.3332886120428047;4.043783985561489;24.533333333333335;0.27753623188405796;2.395908119293929;0.0;0.0;7;8;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.005859375
36;14;6;0;27;15;0.0;0.0;0.0;0.34115088658414194;3.5044468859497253;27.285714285714285;0.2176514584891549;2.3046193848206715;0.0;0.0;6;8;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.00537109375
37;13;6;0;27;16;0.0;0.0;0.0;0.32353000845308544;3.938121074602242;27.615384615384617;0.22326976644525387;2.20478541691352;0.0;0.0;5;8;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0048828125
38;12;6;0;27;17;0.0;0.0;0.0;0.3541821561338292;3.521154234546391;29.416666666666668;0.20372993389990568;2.094729047527649;0.0;0.0;4;8;1.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;0.00439453125
39;11;6;0;27;18;0.0;0.0;0.0;0.3936096642885283;2.091369871777612;32.63636363636363;0.14434033932641177;2.145841752594754;0.0;0.0;3;8;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.00439453125
40;10;6;0;27;19;0.0;0.0;0.0;0.42697921701304975;2.0063734012299745;35.1;0.1125356125356125;2.1639556568820564;0.0;0.0;2;8;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.00439453125
