time,nagents,#193,#194,#195,#196,#197,#198,#199,#200,#201,#202,#203
57,111,94,0,33,127.425,0.2222222222222222,"Dict{String, Real}(""n_edges"" => 22, ""density"" => 0.0036036036036036037, ""avg_degree"" => 0.3783783783783784, ""n_nodes"" => 111, ""max_degree"" => 4)",0.3475835614904561,"Dict(:p25 => 17.0, :p75 => 33.25, :p50 => 23.5, :p90 => 60.0, :p99 => 94.27, :p95 => 69.8875)",2.417652896768248,23.333333333333332,0.4248426032209818
58,113,96,0,33,150.795,0.27586206896551724,"Dict{String, Real}(""n_edges"" => 23, ""density"" => 0.0036346396965865994, ""avg_degree"" => 0.37168141592920356, ""n_nodes"" => 113, ""max_degree"" => 4)",0.34418681473671997,"Dict(:p25 => 17.759999999999998, :p75 => 34.0, :p50 => 23.5, :p90 => 51.64999999999998, :p99 => 96.232, :p95 => 72.36000000000004)",2.39344586697319,23.902654867256636,0.41787210898618343
59,115,99,0,34,148.295,0.13333333333333333,"Dict{String, Real}(""n_edges"" => 24, ""density"" => 0.0036613272311212816, ""avg_degree"" => 0.4, ""n_nodes"" => 115, ""max_degree"" => 4)",0.35156908879556603,"Dict(:p25 => 17.63, :p75 => 33.75, :p50 => 23.75, :p90 => 51.499999999999964, :p99 => 98.064, :p95 => 72.9825000000001)",2.4962451208668868,23.956521739130434,0.41648228517320285
60,113,101,4,34,176.92,0.14285714285714285,"Dict{String, Real}(""n_edges"" => 31, ""density"" => 0.004898862199747156, ""avg_degree"" => 0.5929203539823009, ""n_nodes"" => 113, ""max_degree"" => 13)",0.3331132368783647,"Dict(:p25 => 17.25, :p75 => 35.25, :p50 => 25.25, :p90 => 56.4, :p99 => 86.1112, :p95 => 70.66000000000001)",2.679355358050176,23.27433628318584,0.4074565093038123
61,118,106,4,34,177.17,0.13953488372093023,"Dict{String, Real}(""n_edges"" => 32, ""density"" => 0.004635665652614805, ""avg_degree"" => 0.5847457627118644, ""n_nodes"" => 118, ""max_degree"" => 13)",0.3402268731010831,"Dict(:p25 => 17.3125, :p75 => 34.24375, :p50 => 24.75, :p90 => 57.65, :p99 => 90.20325, :p95 => 71.2475)",2.6337998461141,23.24576271186441,0.41649004862917627
62,124,113,5,34,192.88250000000002,0.125,"Dict{String, Real}(""n_edges"" => 38, ""density"" => 0.004982953055337005, ""avg_degree"" => 0.6290322580645161, ""n_nodes"" => 124, ""max_degree"" => 13)",0.3461638382022103,"Dict(:p25 => 16.9375, :p75 => 34.75, :p50 => 24.5, :p90 => 55.440500000000014, :p99 => 92.03675000000003, :p95 => 72.85000000000001)",2.8617195810570886,22.572580645161292,0.43202353375053293
63,128,117,5,34,175.25750000000002,0.4666666666666667,"Dict{String, Real}(""n_edges"" => 38, ""density"" => 0.004675196850393701, ""avg_degree"" => 0.5859375, ""n_nodes"" => 128, ""max_degree"" => 12)",0.3628981946550578,"Dict(:p25 => 17.0, :p75 => 35.414375, :p50 => 23.795, :p90 => 54.4745, :p99 => 97.26404500000004, :p95 => 74.30000000000001)",2.402817913371945,22.8359375,0.43201815343824834
64,138,127,5,34,216.8234375,0.37735849056603776,"Dict{String, Real}(""n_edges"" => 45, ""density"" => 0.004760393525864805, ""avg_degree"" => 0.6376811594202898, ""n_nodes"" => 138, ""max_degree"" => 12)",0.37019919119287703,"Dict(:p25 => 15.625, :p75 => 33.756718750000005, :p50 => 21.375, :p90 => 52.66844999999999, :p99 => 98.15356999999999, :p95 => 74.4500000000001)",2.325908446701245,22.108695652173914,0.4563649836831829
65,143,134,5,36,232.060625,0.3387096774193548,"Dict{String, Real}(""n_edges"" => 52, ""density"" => 0.005121638924455826, ""avg_degree"" => 0.6993006993006993, ""n_nodes"" => 143, ""max_degree"" => 12)",0.35731223562330006,"Dict(:p25 => 15.0, :p75 => 32.75, :p50 => 21.0, :p90 => 48.900000000000034, :p99 => 98.71349999999987, :p95 => 74.4305000000002)",2.4689486231913595,21.818181818181817,0.46701631701631685
66,153,144,5,36,253.03562499999998,0.34285714285714286,"Dict{String, Real}(""n_edges"" => 57, ""density"" => 0.004901960784313725, ""avg_degree"" => 0.7320261437908496, ""n_nodes"" => 153, ""max_degree"" => 12)",0.3701985758584152,"Dict(:p25 => 14.0, :p75 => 30.25, :p50 => 20.5, :p90 => 47.45, :p99 => 98.93099999999993, :p95 => 69.32200000000012)",2.3338998629420686,21.326797385620914,0.4827227039554203
67,160,152,6,36,252.51562500000006,0.33783783783783783,"Dict{String, Real}(""n_edges"" => 60, ""density"" => 0.0047169811320754715, ""avg_degree"" => 0.69375, ""n_nodes"" => 160, ""max_degree"" => 7)",0.3758610117459371,"Dict(:p25 => 13.375, :p75 => 30.25, :p50 => 20.0, :p90 => 48.025, :p99 => 99.97324999999998, :p95 => 64.05000000000001)",2.3203569432672424,20.93125,0.48699425201552704
68,177,170,7,36,328.3456250000001,0.30303030303030304,"Dict{String, Real}(""n_edges"" => 69, ""density"" => 0.004429892141756549, ""avg_degree"" => 0.8531073446327684, ""n_nodes"" => 177, ""max_degree"" => 16)",0.3708862213848312,"Dict(:p25 => 13.375, :p75 => 26.75, :p50 => 18.75, :p90 => 42.1, :p99 => 99.81299999999986, :p95 => 62.66100000000008)",2.064199525883678,19.440677966101696,0.5180434671960095
69,188,183,8,37,400.12,0.3177570093457944,"Dict{String, Real}(""n_edges"" => 75, ""density"" => 0.004266697007623165, ""avg_degree"" => 0.8563829787234043, ""n_nodes"" => 188, ""max_degree"" => 16)",0.36010969754516853,"Dict(:p25 => 13.25, :p75 => 24.75, :p50 => 18.125, :p90 => 36.83750000000003, :p99 => 100.06224999999996, :p95 => 56.83096250000038)",2.398324481926249,18.627659574468087,0.5275010024666758
70,197,192,8,37,404.00000000000006,0.3944954128440367,"Dict{String, Real}(""n_edges"" => 76, ""density"" => 0.0039366000207189476, ""avg_degree"" => 0.8274111675126904, ""n_nodes"" => 197, ""max_degree"" => 16)",0.3696251660743477,"Dict(:p25 => 11.5, :p75 => 25.25, :p50 => 17.75, :p90 => 35.95968125, :p99 => 101.40799999999994, :p95 => 51.43020000000024)",2.444734429430538,18.730964467005077,0.5234396709449329
71,198,196,8,40,379.11000000000007,0.2871287128712871,"Dict{String, Real}(""n_edges"" => 69, ""density"" => 0.003537917243501, ""avg_degree"" => 0.7777777777777778, ""n_nodes"" => 198, ""max_degree"" => 16)",0.3534744648494639,"Dict(:p25 => 11.785625, :p75 => 24.75, :p50 => 18.125, :p90 => 36.25, :p99 => 102.34975, :p95 => 51.912500000000435)",2.4584404446493524,19.09090909090909,0.5104991716102829
72,201,199,8,40,392.8805000000001,0.297029702970297,"Dict{String, Real}(""n_edges"" => 70, ""density"" => 0.003482587064676617, ""avg_degree"" => 0.7562189054726368, ""n_nodes"" => 201, ""max_degree"" => 16)",0.35257235742654514,"Dict(:p25 => 12.5, :p75 => 24.75, :p50 => 18.5, :p90 => 36.25, :p99 => 103.175, :p95 => 52.000000000000306)",2.393563706387448,19.791044776119403,0.4927749387802065
73,206,204,8,40,390.5012687988282,0.3235294117647059,"Dict{String, Real}(""n_edges"" => 69, ""density"" => 0.0032678190859578497, ""avg_degree"" => 0.7378640776699029, ""n_nodes"" => 206, ""max_degree"" => 16)",0.3529699294711379,"Dict(:p25 => 12.78125, :p75 => 24.75, :p50 => 18.875, :p90 => 35.75, :p99 => 102.7931306640624, :p95 => 51.69897656250015)",2.3566130424583625,20.28640776699029,0.48196019394243517
74,212,211,9,40,398.5815187988282,0.4766355140186916,"Dict{String, Real}(""n_edges"" => 71, ""density"" => 0.003174461235804346, ""avg_degree"" => 0.7452830188679245, ""n_nodes"" => 212, ""max_degree"" => 16)",0.3437759096011337,"Dict(:p25 => 13.46875, :p75 => 24.78, :p50 => 18.5, :p90 => 34.2375, :p99 => 104.3348874609374, :p95 => 51.15000000000012)",2.349400771371151,20.33490566037736,0.4751174047959803
75,215,215,9,41,410.9630812988282,0.47572815533980584,"Dict{String, Real}(""n_edges"" => 68, ""density"" => 0.002955879156705064, ""avg_degree"" => 0.7116279069767442, ""n_nodes"" => 215, ""max_degree"" => 15)",0.3433476042597201,"Dict(:p25 => 13.625, :p75 => 24.815625, :p50 => 18.25, :p90 => 35.699999999999996, :p99 => 106.11579273437492, :p95 => 51.0300000000004)",2.238182092205572,20.87441860465116,0.46416075944119717
76,220,221,10,41,428.4619935607911,0.44954128440366975,"Dict{String, Real}(""n_edges"" => 74, ""density"" => 0.0030718140307181402, ""avg_degree"" => 0.75, ""n_nodes"" => 220, ""max_degree"" => 15)",0.33342354282970854,"Dict(:p25 => 13.5, :p75 => 24.65625, :p50 => 18.25, :p90 => 34.55, :p99 => 101.04915082031253, :p95 => 45.03297753906273)",2.560713242167378,21.03181818181818,0.4558254906968975
77,230,231,10,41,445.2302372398377,0.4396551724137931,"Dict{String, Real}(""n_edges"" => 77, ""density"" => 0.0029238655781279664, ""avg_degree"" => 0.7608695652173914, ""n_nodes"" => 230, ""max_degree"" => 15)",0.33631811697980973,"Dict(:p25 => 13.5, :p75 => 24.375, :p50 => 17.75, :p90 => 32.5125, :p99 => 99.41879886718708, :p95 => 44.46274843750005)",2.713503565367727,21.07391304347826,0.45969537409962236
78,240,241,10,41,461.00961223983774,0.43333333333333335,"Dict{String, Real}(""n_edges"" => 83, ""density"" => 0.0028940027894002788, ""avg_degree"" => 0.7458333333333333, ""n_nodes"" => 240, ""max_degree"" => 15)",0.34575231116411564,"Dict(:p25 => 12.5, :p75 => 23.6125, :p50 => 17.1875, :p90 => 32.717150000000004, :p99 => 98.3654469140622, :p95 => 44.4127882812501)",2.4508376210973712,21.154166666666665,0.4622505088306743
79,244,245,10,41,433.9976122398376,0.4491525423728814,"Dict{String, Real}(""n_edges"" => 84, ""density"" => 0.0028334345274235984, ""avg_degree"" => 0.7254098360655737, ""n_nodes"" => 244, ""max_degree"" => 15)",0.3568434145432078,"Dict(:p25 => 12.5, :p75 => 23.5625, :p50 => 17.1875, :p90 => 33.175, :p99 => 99.88444999999984, :p95 => 45.73800390625006)",2.403310914837078,21.790983606557376,0.45054295377955644
80,244,248,12,42,507.08365432524687,0.4864864864864865,"Dict{String, Real}(""n_edges"" => 99, ""density"" => 0.003339404978749241, ""avg_degree"" => 0.9385245901639344, ""n_nodes"" => 244, ""max_degree"" => 27)",0.3547387054101041,"Dict(:p25 => 13.1875, :p75 => 24.15625, :p50 => 17.1875, :p90 => 34.349999999999994, :p99 => 100.88444999999984, :p95 => 45.77550390625005)",2.4071075308977257,22.131147540983605,0.4374058894960535
81,244,248,12,42,521.2786461176872,0.48299319727891155,"Dict{String, Real}(""n_edges"" => 99, ""density"" => 0.003339404978749241, ""avg_degree"" => 0.9262295081967213, ""n_nodes"" => 244, ""max_degree"" => 27)",0.35295386345305424,"Dict(:p25 => 13.875, :p75 => 24.65625, :p50 => 17.25, :p90 => 35.675, :p99 => 101.88444999999984, :p95 => 46.77550390625005)",2.5688597211048205,23.131147540983605,0.4184960672003346
82,250,256,12,44,546.2436461820603,0.4177215189873418,"Dict{String, Real}(""n_edges"" => 110, ""density"" => 0.003534136546184739, ""avg_degree"" => 0.976, ""n_nodes"" => 250, ""max_degree"" => 27)",0.35720572664967176,"Dict(:p25 => 12.8125, :p75 => 25.261151123046876, :p50 => 17.25, :p90 => 35.99825738680362, :p99 => 101.5113499999998, :p95 => 47.148855468750085)",2.5032071794559414,23.144,0.420353957829243
83,257,267,15,45,722.9265115647319,0.3612565445026178,"Dict{String, Real}(""n_edges"" => 144, ""density"" => 0.004377431906614786, ""avg_degree"" => 1.093385214007782, ""n_nodes"" => 257, ""max_degree"" => 27)",0.34975512265197795,"Dict(:p25 => 13.0, :p75 => 23.75, :p50 => 17.25, :p90 => 34.1, :p99 => 100.90939999999995, :p95 => 44.60000000000005)",2.5043446210980136,22.642023346303503,0.4248687547768848
84,265,278,16,47,776.5708555422655,0.41706161137440756,"Dict{String, Real}(""n_edges"" => 165, ""density"" => 0.0047169811320754715, ""avg_degree"" => 1.1773584905660377, ""n_nodes"" => 265, ""max_degree"" => 27)",0.34506111459264743,"Dict(:p25 => 13.125, :p75 => 22.75, :p50 => 17.0, :p90 => 33.95, :p99 => 99.43860000000032, :p95 => 44.75000000000005)",2.5426484097789945,22.535849056603773,0.4324621820065968
85,283,296,16,47,849.55533154364,0.45188284518828453,"Dict{String, Real}(""n_edges"" => 184, ""density"" => 0.004611182116632835, ""avg_degree"" => 1.2579505300353357, ""n_nodes"" => 283, ""max_degree"" => 27)",0.3476558669427503,"Dict(:p25 => 12.216342293640961, :p75 => 21.4375, :p50 => 16.0, :p90 => 32.800000000000004, :p99 => 95.31930000000017, :p95 => 41.45204931640627)",2.278540851469477,22.03886925795053,0.4513540815072028
86,297,311,17,47,876.9417717509795,0.45126353790613716,"Dict{String, Real}(""n_edges"" => 196, ""density"" => 0.004459004459004459, ""avg_degree"" => 1.3501683501683501, ""n_nodes"" => 297, ""max_degree"" => 30)",0.35551089590657003,"Dict(:p25 => 11.75, :p75 => 21.25, :p50 => 15.3125, :p90 => 31.900000000000013, :p99 => 91.91539999999902, :p95 => 42.5)",2.127344882400482,21.723905723905723,0.4594988947127818
87,308,323,18,47,879.4556857463567,0.42567567567567566,"Dict{String, Real}(""n_edges"" => 213, ""density"" => 0.004505266720250434, ""avg_degree"" => 1.4090909090909092, ""n_nodes"" => 308, ""max_degree"" => 30)",0.34817170815105314,"Dict(:p25 => 11.0, :p75 => 20.375, :p50 => 15.125, :p90 => 31.5, :p99 => 91.59887000000006, :p95 => 41.60999540376682)",2.2107688110004444,21.714285714285715,0.46071370316286586
88,318,335,20,47,981.7987909385834,0.3668639053254438,"Dict{String, Real}(""n_edges"" => 251, ""density"" => 0.004979862309783148, ""avg_degree"" => 1.5817610062893082, ""n_nodes"" => 318, ""max_degree"" => 30)",0.34385635200417486,"Dict(:p25 => 11.447812738420536, :p75 => 20.278118844330308, :p50 => 15.0, :p90 => 30.25, :p99 => 90.71859999999977, :p95 => 36.82000000000004)",2.4183220814976325,21.534591194968552,0.4588402985951918
89,327,345,21,47,1249.318109571689,0.3709677419354839,"Dict{String, Real}(""n_edges"" => 269, ""density"" => 0.005046809628337179, ""avg_degree"" => 1.709480122324159, ""n_nodes"" => 327, ""max_degree"" => 30)",0.33152699397562047,"Dict(:p25 => 11.75, :p75 => 19.393745896220207, :p50 => 15.125, :p90 => 29.447875000000003, :p99 => 94.41580000000019, :p95 => 35.25)",2.135450263274851,21.642201834862384,0.45322077505672653
90,339,358,22,47,1503.2305560408797,0.4697674418604651,"Dict{String, Real}(""n_edges"" => 303, ""density"" => 0.00528878881499712, ""avg_degree"" => 1.9410029498525074, ""n_nodes"" => 339, ""max_degree"" => 42)",0.3333988372644352,"Dict(:p25 => 11.5625, :p75 => 18.6875, :p50 => 15.0, :p90 => 29.53900000000001, :p99 => 91.8754000000001, :p95 => 35.30000000000001)",2.232504127865892,21.640117994100294,0.4540513023421895
91,347,368,23,48,1538.242996946314,0.445916114790287,"Dict{String, Real}(""n_edges"" => 318, ""density"" => 0.0052972630807416165, ""avg_degree"" => 1.994236311239193, ""n_nodes"" => 347, ""max_degree"" => 42)",0.33101570288876303,"Dict(:p25 => 11.21875, :p75 => 18.625, :p50 => 14.625, :p90 => 28.475000000000072, :p99 => 88.91345583300706, :p95 => 35.72500000000002)",2.2199397134263914,21.763688760806918,0.44861372295218094
92,361,383,24,48,1568.0499993238957,0.4638949671772429,"Dict{String, Real}(""n_edges"" => 323, ""density"" => 0.004970760233918129, ""avg_degree"" => 1.9556786703601108, ""n_nodes"" => 361, ""max_degree"" => 42)",0.33911114909051543,"Dict(:p25 => 10.886253042602538, :p75 => 18.6, :p50 => 14.625, :p90 => 27.5, :p99 => 86.11522654296829, :p95 => 33.125000000000036)",2.2830745261878693,21.626038781163434,0.45015784186859786
93,368,392,26,48,1559.191199665502,0.4772234273318872,"Dict{String, Real}(""n_edges"" => 334, ""density"" => 0.004946096434071792, ""avg_degree"" => 1.953804347826087, ""n_nodes"" => 368, ""max_degree"" => 42)",0.3409235995934521,"Dict(:p25 => 10.825, :p75 => 18.953125, :p50 => 14.5625, :p90 => 27.325000000000003, :p99 => 80.98759109580368, :p95 => 33.331250000000004)",2.4451947037611297,21.690217391304348,0.439072151471245
94,380,405,26,49,1570.3029478688022,0.5131004366812227,"Dict{String, Real}(""n_edges"" => 336, ""density"" => 0.004666018608526594, ""avg_degree"" => 1.8710526315789473, ""n_nodes"" => 380, ""max_degree"" => 42)",0.34838642767132466,"Dict(:p25 => 10.5, :p75 => 18.953125, :p50 => 14.5, :p90 => 27.024630000000005, :p99 => 79.17066098674711, :p95 => 34.00625)",2.4677720375637313,21.78684210526316,0.43850611248498117
95,390,416,26,50,1556.7319433909079,0.5089686098654709,"Dict{String, Real}(""n_edges"" => 327, ""density"" => 0.004310856238876805, ""avg_degree"" => 1.7794871794871794, ""n_nodes"" => 390, ""max_degree"" => 42)",0.35274088059647424,"Dict(:p25 => 10.192374999999998, :p75 => 18.9375, :p50 => 14.375, :p90 => 25.262500000000003, :p99 => 79.99553212270771, :p95 => 33.69670129852721)",2.5671762830819707,22.094871794871796,0.43611316925695487
96,405,432,26,51,1649.0505033293546,0.5063829787234042,"Dict{String, Real}(""n_edges"" => 345, ""density"" => 0.004217088375504217, ""avg_degree"" => 1.7876543209876543, ""n_nodes"" => 405, ""max_degree"" => 42)",0.35415449914105834,"Dict(:p25 => 9.375, :p75 => 19.0, :p50 => 14.0625, :p90 => 23.97667541698933, :p99 => 82.94390557499989, :p95 => 32.32913647398622)",2.75896746994107,22.103703703703705,0.4402050993501694
97,418,446,26,52,1656.1212589641268,0.5010482180293501,"Dict{String, Real}(""n_edges"" => 354, ""density"" => 0.00406182231248494, ""avg_degree"" => 1.7535885167464116, ""n_nodes"" => 418, ""max_degree"" => 42)",0.3551011133367208,"Dict(:p25 => 9.5, :p75 => 18.96875, :p50 => 13.8625, :p90 => 23.99741, :p99 => 82.29756191640617, :p95 => 31.0)",2.8996828062668096,22.301435406698566,0.4411553058105073
