time;nagents;births;deaths_age;deaths_starvation;combat_kills;calculate_total_credit_outstanding;calculate_credit_default_rate;calculate_decision_entropy;calculate_gini_coefficient;calculate_pareto_alpha;calculate_mean_lifespan;calculate_lifespan_inequality;calculate_cultural_entropy;calculate_spatial_segregation;calculate_clustering_coefficient;count_red_tribe;count_blue_tribe;calculate_factional_clustering_blue_initiated_attacks;calculate_factional_clustering_red_attack_rate;calculate_factional_clustering_red_initiated_attacks;calculate_factional_clustering_total_attacks;calculate_cultural_initiation_by_tribe_blue_initiated_transmissions;calculate_cultural_initiation_by_tribe_red_initiated_transmissions;calculate_cultural_initiation_by_tribe_total_transmissions;calculate_cultural_diversity_diversity_ratio
26;15;8;0;16;27;2.0;0.0;0.0;0.40722975321515475;2.8397897479285743;17.0;0.33411764705882363;2.70805020110221;0.0;0.0;0;15;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.00732421875
27;16;11;0;16;29;2.0;0.0;0.0;0.4465956340956341;1.9375910892288437;13.5;0.47916666666666674;2.772588722239781;0.0;0.0;0;16;2.0;0.0;0.0;2.0;6.0;0.0;6.0;0.0078125
28;16;11;0;16;29;2.0;0.0;0.0;0.4323492462311558;1.9762226467584356;14.5;0.4461206896551724;2.772588722239781;0.0;0.0;0;16;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0078125
29;16;11;0;16;29;0.0;0.0;0.0;0.42289844509232255;2.0043950625728404;15.5;0.41733870967741926;2.772588722239781;0.0;0.0;0;16;0.0;0.0;0.0;0.0;5.0;0.0;5.0;0.0078125
30;16;11;0;16;29;0.0;0.0;0.0;0.40996001881467525;2.0432994194063077;16.5;0.3920454545454546;2.685945324669788;0.0;0.0;0;16;0.0;0.0;0.0;0.0;4.0;0.0;4.0;0.00732421875
31;16;11;0;16;29;0.0;0.0;0.0;0.3986288848263253;2.089348330502009;17.5;0.36964285714285716;2.685945324669788;0.0;0.0;0;16;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.00732421875
32;16;11;0;16;29;0.0;0.0;0.0;0.38887900355871885;2.1361392509446087;18.5;0.34966216216216206;2.685945324669788;0.0;0.0;0;16;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.00732421875
33;16;11;0;16;29;0.0;0.0;0.0;0.37810880829015536;2.176251754045242;19.5;0.33173076923076916;2.772588722239781;0.0;0.0;0;16;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0078125
34;16;11;0;16;29;0.0;0.0;0.0;0.3692016806722689;2.2166794325138626;20.5;0.31554878048780477;2.685945324669788;0.0;0.0;0;16;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.00732421875
35;16;11;0;16;29;2.1999999999999993;0.0;0.0;0.35655151267375307;2.277254633975471;21.5;0.3008720930232558;2.685945324669788;0.0;0.0;0;16;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.00732421875
36;16;11;0;16;29;2.1999999999999993;0.0;0.0;0.34945219123505966;2.3187090891349302;22.5;0.2875000000000001;2.685945324669788;0.0;0.0;0;16;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.00732421875
37;16;11;0;16;29;2.1999999999999993;0.0;0.0;0.34239130434782616;2.360525714928273;23.5;0.2752659574468086;2.685945324669788;0.0;0.0;0;16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00732421875
