time;nagents;births;deaths_age;deaths_starvation;combat_kills;calculate_total_credit_outstanding;calculate_credit_default_rate;calculate_decision_entropy;calculate_gini_coefficient;calculate_pareto_alpha;calculate_mean_lifespan;calculate_lifespan_inequality;calculate_cultural_entropy;calculate_spatial_segregation;calculate_clustering_coefficient;count_red_tribe;count_blue_tribe;calculate_factional_clustering_blue_initiated_attacks;calculate_factional_clustering_red_attack_rate;calculate_factional_clustering_red_initiated_attacks;calculate_factional_clustering_total_attacks;calculate_cultural_initiation_by_tribe_blue_initiated_transmissions;calculate_cultural_initiation_by_tribe_red_initiated_transmissions;calculate_cultural_initiation_by_tribe_total_transmissions;calculate_cultural_diversity_diversity_ratio
106;294;334;12;31;47;1139.0523338776084;0.4117647058823529;0.0;0.365313393240003;2.347018854514322;19.860544217687075;0.4509840586345859;2.9109981582480247;0.0;0.0;0;294;1.0;0.0;0.0;1.0;84.0;0.0;84.0;0.01708984375
107;306;349;12;33;48;1208.6333610992879;0.47368421052631576;0.0;0.3686529900498152;2.580384456541883;19.787581699346404;0.4590464316747893;2.9177658359819385;0.0;0.0;0;306;1.0;0.0;0.0;1.0;80.0;0.0;80.0;0.01904296875
108;312;359;12;37;48;1243.3992967682332;0.4668769716088328;0.0;0.36037406195252975;2.6233614250480004;19.89423076923077;0.4571683954840069;2.9384482348809615;0.0;0.0;0;312;0.0;0.0;0.0;0.0;101.0;0.0;101.0;0.01953125
109;316;365;12;39;48;1283.4939842682331;0.49544072948328266;0.0;0.36097788775924;2.4596258660415735;20.436708860759495;0.447654954506431;3.0053044220978196;0.0;0.0;0;316;0.0;0.0;0.0;0.0;96.0;0.0;96.0;0.02197265625
110;323;375;12;42;48;1357.9187046240243;0.5013774104683195;0.0;0.36249526824567324;2.4862223961032366;20.637770897832816;0.4462040631307713;2.992368023308111;0.0;0.0;0;323;0.0;0.0;0.0;0.0;100.0;0.0;100.0;0.02001953125
111;327;382;12;45;48;1450.7698467034593;0.48812664907651715;0.0;0.3570899888807224;2.4884869673365437;20.960244648318042;0.4381976550669313;3.0761030082138765;0.0;0.0;0;327;0.0;0.0;0.0;0.0;108.0;0.0;108.0;0.0224609375
112;333;392;12;49;48;1552.777299253333;0.5885057471264368;0.0;0.35865698044094585;2.4315031961737064;21.00900900900901;0.43550239776654864;3.12953740617647;0.0;0.0;0;333;0.0;0.0;0.0;0.0;110.0;0.0;110.0;0.0224609375
113;337;399;13;51;48;1549.8921605772962;0.5990783410138248;0.0;0.3586898302382391;2.3250226440824506;21.394658753709198;0.42794173934158386;3.110239917014094;0.0;0.0;0;337;0.0;0.0;0.0;0.0;121.0;0.0;121.0;0.021484375
114;345;411;15;53;48;1623.1337887793597;0.5351089588377724;0.0;0.3507196601736149;2.47169383100085;21.191304347826087;0.4262879639376045;3.0963980284931756;0.0;0.0;0;345;0.0;0.0;0.0;0.0;122.0;0.0;122.0;0.02197265625
115;352;423;18;55;48;2282.648066355601;0.4165366614664587;0.0;0.33736035400123865;2.4713847530321784;20.982954545454547;0.42314467789183463;3.0979402419125948;0.0;0.0;0;352;0.0;0.0;0.0;0.0;120.0;0.0;120.0;0.02294921875
116;359;434;19;58;48;2348.0857569953955;0.47040971168437024;0.0;0.3281810913676011;2.7942493061290996;21.016713091922007;0.4200018090159139;3.1103560509364985;0.0;0.0;0;359;0.0;0.0;0.0;0.0;118.0;0.0;118.0;0.02099609375
117;364;440;19;59;48;2313.514882919897;0.5679389312977099;0.0;0.33778159205589375;2.831132409247131;21.63186813186813;0.4114738449257118;3.0596229696577204;0.0;0.0;0;364;0.0;0.0;0.0;0.0;114.0;0.0;114.0;0.02099609375
118;368;451;19;63;51;2385.785898832248;0.532258064516129;0.0;0.3281597560307521;2.7335793445180334;21.796195652173914;0.4147885577532888;3.091279576025807;0.0;0.0;1;367;2.0;0.3333333333333333;1.0;3.0;117.0;1.0;118.0;0.0234375
119;379;465;19;66;51;2466.8030020428628;0.5316846986089645;0.0;0.32518299005521034;2.996678070167316;21.80211081794195;0.4191160199471402;3.0191201007031023;0.0;0.0;0;379;0.0;0.0;0.0;0.0;114.0;0.0;114.0;0.02197265625
120;385;479;21;72;51;2769.134858892967;0.5369030390738061;0.0;0.3010849065761205;3.052049235352914;21.431168831168833;0.42184701736271246;3.0135625180995143;0.0;0.0;0;385;0.0;0.0;0.0;0.0;107.0;0.0;107.0;0.02099609375
121;391;488;22;74;51;3000.601690588591;0.5769764216366158;0.0;0.30159451774575285;2.822797368213876;21.69309462915601;0.4158612400805437;3.031148052394784;0.0;0.0;0;391;0.0;0.0;0.0;0.0;131.0;0.0;131.0;0.02001953125
122;394;493;23;75;51;3079.561541110567;0.5460614152202937;0.0;0.2867703929670131;3.301797909180135;22.281725888324875;0.4039528454786254;3.10258590873684;0.0;0.0;0;394;0.0;0.0;0.0;0.0;114.0;0.0;114.0;0.021484375
123;393;496;23;79;51;3045.717382118492;0.5540540540540541;0.0;0.2828734326196152;3.084871974305415;23.083969465648856;0.3932576706113602;3.1052876024804457;0.0;0.0;1;392;0.0;0.0;0.0;0.0;124.0;0.0;124.0;0.0224609375
124;400;509;23;81;55;2986.5672933190262;0.5572207084468664;0.0;0.29176099444605263;2.9899662183451725;23.33;0.3973114016288042;3.1667167390988893;0.0;0.0;0;400;4.0;0.0;0.0;4.0;128.0;0.0;128.0;0.02197265625
125;405;514;23;81;55;2987.0594259545196;0.5603799185888738;0.0;0.29750181218688154;3.12923837699143;24.02962962962963;0.3886235049956108;3.197016255169541;0.0;0.0;0;405;0.0;0.0;0.0;0.0;115.0;0.0;115.0;0.02294921875
126;408;520;23;84;55;2932.5549621118357;0.546831955922865;0.0;0.29788344601053107;2.9668456109486248;24.627450980392158;0.38344183214687155;3.205470865114514;0.0;0.0;0;408;0.0;0.0;0.0;0.0;129.0;0.0;129.0;0.02099609375
127;408;526;24;89;55;2959.4302390403027;0.5534506089309879;0.0;0.2939549514890043;2.9073223862691195;25.17156862745098;0.3787535559501307;3.1463220254305746;0.0;0.0;0;408;0.0;0.0;0.0;0.0;130.0;0.0;130.0;0.0205078125
128;413;537;25;93;56;3043.4987930385473;0.5757978723404256;0.0;0.2953377973656597;3.1201591445237393;25.2590799031477;0.38211444762994096;3.1218181538030345;0.0;0.0;0;413;1.0;0.0;0.0;1.0;130.0;0.0;130.0;0.02001953125
129;414;542;25;97;56;2976.540783809533;0.5796519410977242;0.0;0.29872001076224053;3.0428079857256325;25.908212560386474;0.37737863928996407;3.1777528436849187;0.0;0.0;0;414;0.0;0.0;0.0;0.0;127.0;0.0;127.0;0.02197265625
130;423;552;25;98;56;2997.411330209814;0.5729303547963206;0.0;0.30827022576962304;3.1076487318128985;26.29787234042553;0.3784176312923817;3.1942089372403104;0.0;0.0;0;423;0.0;0.0;0.0;0.0;121.0;0.0;121.0;0.02197265625
131;424;556;26;100;56;3135.4394555959466;0.5166270783847982;0.0;0.30890381610857376;3.049508895090869;26.92924528301887;0.37098284073145016;3.1895084666218656;0.0;0.0;0;424;0.0;0.0;0.0;0.0;140.0;0.0;140.0;0.02197265625
132;420;557;27;103;57;3319.048172943385;0.6030204962243797;0.0;0.3038092451701957;3.074094337832284;27.704761904761906;0.360124981584246;3.221676729998995;0.0;0.0;0;420;1.0;0.0;0.0;1.0;145.0;0.0;145.0;0.01953125
133;423;564;28;106;57;3303.3579998873015;0.5827186512118019;0.0;0.30410672391952653;2.9972340338614694;28.099290780141843;0.3592764040098828;3.1781621756388345;0.0;0.0;0;423;0.0;0.0;0.0;0.0;133.0;0.0;133.0;0.02099609375
134;426;570;29;108;57;3340.670623322125;0.5605749486652978;0.0;0.30514197261493026;2.9338540582464523;28.558685446009388;0.35649223302994026;3.169224057741862;0.0;0.0;0;426;0.0;0.0;0.0;0.0;145.0;0.0;145.0;0.02099609375
135;426;575;30;109;60;3490.4529371231433;0.5262655205348615;0.0;0.30890561113632176;2.6871120219217888;29.02112676056338;0.3522302083416404;3.1926368837614043;0.0;0.0;0;426;3.0;0.0;0.0;3.0;160.0;0.0;160.0;0.02294921875
136;430;579;30;109;60;3508.537378125243;0.5140977443609023;0.0;0.3047005429118854;2.73782224752126;29.74186046511628;0.3466323712056327;3.2390908969622605;0.0;0.0;0;430;0.0;0.0;0.0;0.0;143.0;0.0;143.0;0.02392578125
137;432;582;30;110;60;3604.7710137961394;0.5032021957913998;0.0;0.3095255172287863;2.7351475080151237;30.50925925925926;0.34044954476479505;3.1779005376140983;0.0;0.0;1;431;0.0;0.0;0.0;0.0;132.0;1.0;133.0;0.0224609375
138;431;588;36;110;61;4327.519731270735;0.5265306122448979;0.0;0.3082833763338979;2.627911239294688;30.415313225058004;0.3335074342754194;3.211507720608244;0.0;0.0;0;431;1.0;0.0;0.0;1.0;146.0;0.0;146.0;0.02294921875
139;429;594;39;113;63;2973.6293729023946;0.4202764976958525;0.0;0.3040915833800466;2.6505109435776606;30.783216783216783;0.32693128467776345;3.2436442827216916;0.0;0.0;0;429;1.0;0.0;0.0;1.0;148.0;0.0;148.0;0.02294921875
140;430;597;41;113;63;2987.352779629218;0.44414655942806075;0.0;0.31364975949802343;2.621329687028051;31.388372093023257;0.3205878653481997;3.2068464428852366;0.0;0.0;0;430;0.0;0.0;0.0;0.0;130.0;0.0;130.0;0.021484375
141;434;602;41;113;64;3099.6695787876715;0.4391304347826087;0.0;0.3181612923432726;2.413949807981602;31.967741935483872;0.31886318539003766;3.2421626700220254;0.0;0.0;0;434;1.0;0.0;0.0;1.0;147.0;0.0;147.0;0.0224609375
142;435;603;41;113;64;3144.8102691212052;0.43273350471293914;0.0;0.3131071734660431;2.6836891164111263;32.89195402298851;0.3107792762830215;3.251949399588855;0.0;0.0;0;435;0.0;0.0;0.0;0.0;141.0;0.0;141.0;0.0234375
143;435;606;42;113;66;3306.649381678592;0.47019867549668876;0.0;0.32640765157309803;2.5444350888732745;33.55632183908046;0.30654196776380616;3.253039042541322;0.0;0.0;0;435;2.0;0.0;0.0;2.0;143.0;0.0;143.0;0.02392578125
144;438;609;42;113;66;3306.810071382008;0.48063973063973064;0.0;0.32752910420762427;2.700913396861823;34.31963470319635;0.3024816464601543;3.243570732087615;0.0;0.0;1;437;0.0;0.0;0.0;0.0;149.0;0.0;149.0;0.0244140625
145;437;614;47;113;67;3685.754592735644;0.4175217048145225;0.0;0.32969517592155917;2.5712622271081815;34.55148741418764;0.2986504175417075;3.1868486068203783;0.0;0.0;0;437;1.0;0.0;0.0;1.0;119.0;0.0;119.0;0.02294921875
146;442;619;47;113;67;3717.689073547909;0.442845723421263;0.0;0.33360432518902794;2.5527828541923867;35.14932126696833;0.29827876052583746;3.174769395372228;0.0;0.0;0;442;0.0;0.0;0.0;0.0;140.0;0.0;140.0;0.02392578125
147;441;622;49;113;69;3746.103774678492;0.44346431435445066;0.0;0.3433694046230993;2.4891951130952754;35.863945578231295;0.29144142904168935;3.1322306465673675;0.0;0.0;0;441;2.0;0.0;0.0;2.0;128.0;0.0;128.0;0.02099609375
148;444;626;49;114;69;3739.6211060332535;0.4624183006535948;0.0;0.34890481401668016;2.4027395471795576;36.542792792792795;0.2902481988922665;3.1325370229127425;0.0;0.0;0;444;0.0;0.0;0.0;0.0;133.0;0.0;133.0;0.02197265625
149;444;630;52;115;69;3966.922797166529;0.4859663191659984;0.0;0.34816285070321173;2.3981051769613493;36.968468468468465;0.2883192989504675;3.152532677562482;0.0;0.0;0;444;0.0;0.0;0.0;0.0;127.0;0.0;127.0;0.0234375
150;446;642;60;115;71;4097.790711621355;0.44178628389154706;0.0;0.3460283600840348;2.431287326743598;36.3542600896861;0.2962498223038166;3.1865581743794604;0.0;0.0;1;445;1.0;0.5;1.0;2.0;129.0;1.0;130.0;0.0234375
