Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,44.000,N/A,44.000,44.000,44.000,44.000,44.000
llm,1,47.000,N/A,47.000,47.000,47.000,47.000,47.000
rule,1,45.000,N/A,45.000,45.000,45.000,45.000,45.000
schwartz,1,44.000,N/A,44.000,44.000,44.000,44.000,44.000
