Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,44.000,NaN,44.000,44.000,44.000,44.000,44.000
llm,1,47.000,NaN,47.000,47.000,47.000,47.000,47.000
rule,1,45.000,NaN,45.000,45.000,45.000,45.000,45.000
schwartz,1,44.000,NaN,44.000,44.000,44.000,44.000,44.000
