Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,703.000,N/A,703.000,703.000,703.000,703.000,703.000
llm,1,677.000,N/A,677.000,677.000,677.000,677.000,677.000
rule,1,672.000,N/A,672.000,672.000,672.000,672.000,672.000
schwartz,1,847.000,N/A,847.000,847.000,847.000,847.000,847.000
