Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,6.000,NaN,6.000,6.000,6.000,6.000,6.000
llm,1,3.000,NaN,3.000,3.000,3.000,3.000,3.000
rule,1,5.000,NaN,5.000,5.000,5.000,5.000,5.000
schwartz,1,6.000,NaN,6.000,6.000,6.000,6.000,6.000
