Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,33.988,N/A,33.988,33.988,33.988,33.988,33.988
llm,1,37.019,N/A,37.019,37.019,37.019,37.019,37.019
rule,1,46.261,N/A,46.261,46.261,46.261,46.261,46.261
schwartz,1,36.544,N/A,36.544,36.544,36.544,36.544,36.544
