Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,2.924,NaN,2.924,2.924,2.924,2.924,2.924
llm,1,2.813,NaN,2.813,2.813,2.813,2.813,2.813
rule,1,3.607,NaN,3.607,3.607,3.607,3.607,3.607
schwartz,1,3.521,NaN,3.521,3.521,3.521,3.521,3.521
