Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,204.000,NaN,204.000,204.000,204.000,204.000,204.000
llm,1,165.000,NaN,165.000,165.000,165.000,165.000,165.000
rule,1,301.000,NaN,301.000,301.000,301.000,301.000,301.000
schwartz,1,116.000,NaN,116.000,116.000,116.000,116.000,116.000
