Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,773.000,N/A,773.000,773.000,773.000,773.000,773.000
llm,1,1283.000,N/A,1283.000,1283.000,1283.000,1283.000,1283.000
rule,1,1267.000,N/A,1267.000,1267.000,1267.000,1267.000,1267.000
schwartz,1,831.000,N/A,831.000,831.000,831.000,831.000,831.000
