Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,0.394,NaN,0.394,0.394,0.394,0.394,0.394
llm,1,0.249,NaN,0.249,0.249,0.249,0.249,0.249
rule,1,0.243,NaN,0.243,0.243,0.243,0.243,0.243
schwartz,1,0.331,NaN,0.331,0.331,0.331,0.331,0.331
