Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,488.000,N/A,488.000,488.000,488.000,488.000,488.000
llm,1,970.000,N/A,970.000,970.000,970.000,970.000,970.000
rule,1,800.000,N/A,800.000,800.000,800.000,800.000,800.000
schwartz,1,654.000,N/A,654.000,654.000,654.000,654.000,654.000
