architecture,final_value
bigfive,"Dict(:p25 => 9.47265625, :p75 => 25.05859375, :p50 => 16.72265625, :p90 => 33.09062500000002, :p99 => 65.575625, :p95 => 43.22890625000009)"
llm,"Dict(:p25 => 10.9375, :p75 => 17.29296875, :p50 => 13.8828125, :p90 => 23.0, :p99 => 60.318749999999966, :p95 => 31.25)"
rule,"Dict(:p25 => 10.0546875, :p75 => 17.75, :p50 => 13.3125, :p90 => 24.003125, :p99 => 38.315, :p95 => 28.875)"
schwartz,"Dict(:p25 => 10.10546875, :p75 => 20.47265625, :p50 => 15.8671875, :p90 => 26.678125, :p99 => 53.576875000000015, :p95 => 33.0)"
