Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,131.000,N/A,131.000,131.000,131.000,131.000,131.000
llm,1,198.000,N/A,198.000,198.000,198.000,198.000,198.000
rule,1,216.000,N/A,216.000,216.000,216.000,216.000,216.000
schwartz,1,111.000,N/A,111.000,111.000,111.000,111.000,111.000
