time,#125,#126,#127,#128,nagents
32,42.7,0.25,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.22, ""n_nodes"" => 50, ""max_degree"" => 2)",0.38108018623900675,50
33,42.7,0.25,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.22, ""n_nodes"" => 50, ""max_degree"" => 2)",0.38695440729483277,50
34,42.7,0.25,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.22, ""n_nodes"" => 50, ""max_degree"" => 2)",0.38947149231531997,50
35,44.7,0.2222222222222222,"Dict{String, Real}(""n_edges"" => 8, ""density"" => 0.006530612244897959, ""avg_degree"" => 0.24, ""n_nodes"" => 50, ""max_degree"" => 2)",0.38684719535783363,50
36,27.7,0.1,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.24, ""n_nodes"" => 50, ""max_degree"" => 2)",0.37637484241490404,50
37,28.799999999999997,0.1,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.24, ""n_nodes"" => 50, ""max_degree"" => 2)",0.37817758927349865,50
38,29.799999999999997,0.09090909090909091,"Dict{String, Real}(""n_edges"" => 8, ""density"" => 0.006530612244897959, ""avg_degree"" => 0.28, ""n_nodes"" => 50, ""max_degree"" => 2)",0.37966379040550824,50
39,24.299999999999997,0.1,"Dict{String, Real}(""n_edges"" => 8, ""density"" => 0.006530612244897959, ""avg_degree"" => 0.26, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3855066252678534,50
40,30.549999999999997,0.08333333333333333,"Dict{String, Real}(""n_edges"" => 10, ""density"" => 0.00816326530612245, ""avg_degree"" => 0.3, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3858380785203577,50
41,29.55,0.09090909090909091,"Dict{String, Real}(""n_edges"" => 9, ""density"" => 0.007346938775510204, ""avg_degree"" => 0.28, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3908658244848282,50
42,33.769999999999996,0.08333333333333333,"Dict{String, Real}(""n_edges"" => 10, ""density"" => 0.00816326530612245, ""avg_degree"" => 0.3, ""n_nodes"" => 50, ""max_degree"" => 2)",0.38658322084509344,50
43,33.769999999999996,0.08333333333333333,"Dict{String, Real}(""n_edges"" => 10, ""density"" => 0.00816326530612245, ""avg_degree"" => 0.3, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3835801334558677,50
44,33.769999999999996,0.08333333333333333,"Dict{String, Real}(""n_edges"" => 10, ""density"" => 0.00816326530612245, ""avg_degree"" => 0.3, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3881157824359933,50
45,39.07,0.07142857142857142,"Dict{String, Real}(""n_edges"" => 12, ""density"" => 0.009795918367346938, ""avg_degree"" => 0.36, ""n_nodes"" => 50, ""max_degree"" => 3)",0.3818409483254692,50
