time,id,pos,sugar,age,vision,metabolism,sex,children,has_reproduced,total_inheritance_received,last_partner_id,last_credit_partner,chose_not_to_borrow,chose_not_to_lend,schwartz_values
0,20,"(13, 9)",14.0,0,4,1,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = -0.35f0, stimulation = -1.92f0, hedonism = -0.47f0, achievement = 0.69f0, power = -0.34f0, security = 1.1f0, conformity = 0.96f0, tradition = 0.43f0, benevolence = -0.0f0, universalism = -0.09f0)"
0,21,"(6, 20)",24.0,0,4,1,female,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = -0.28f0, stimulation = -1.2f0, hedonism = -0.11f0, achievement = 0.11f0, power = -0.64f0, security = 0.65f0, conformity = 0.62f0, tradition = 0.03f0, benevolence = 0.83f0, universalism = -0.02f0)"
0,22,"(20, 18)",25.0,0,1,3,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 0.05f0, stimulation = -2.62f0, hedonism = -1.3f0, achievement = 0.33f0, power = -0.17f0, security = 0.49f0, conformity = 0.11f0, tradition = 1.39f0, benevolence = 1.0f0, universalism = 0.72f0)"
0,23,"(31, 2)",23.0,0,2,1,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 0.29f0, stimulation = -1.38f0, hedonism = 0.49f0, achievement = 0.65f0, power = -0.86f0, security = 0.57f0, conformity = -0.5f0, tradition = 0.24f0, benevolence = -0.22f0, universalism = 0.71f0)"
0,24,"(12, 50)",14.0,0,6,2,female,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 0.12f0, stimulation = -0.56f0, hedonism = -0.06f0, achievement = 0.38f0, power = 0.0f0, security = 0.53f0, conformity = -0.31f0, tradition = -0.12f0, benevolence = -0.11f0, universalism = 0.12f0)"
0,25,"(10, 9)",18.0,0,2,3,female,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 0.68f0, stimulation = -0.9f0, hedonism = 0.36f0, achievement = -2.19f0, power = -1.75f0, security = 1.55f0, conformity = -0.91f0, tradition = 0.35f0, benevolence = 1.56f0, universalism = 1.28f0)"
0,26,"(44, 18)",19.0,0,2,3,female,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 1.15f0, stimulation = -1.85f0, hedonism = -1.57f0, achievement = -1.15f0, power = -0.04f0, security = 1.18f0, conformity = 1.22f0, tradition = 0.79f0, benevolence = 0.32f0, universalism = -0.05f0)"
0,27,"(37, 1)",25.0,0,1,3,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = -1.5f0, stimulation = 0.25f0, hedonism = -0.29f0, achievement = -0.15f0, power = 0.24f0, security = -0.05f0, conformity = -0.07f0, tradition = -0.47f0, benevolence = 0.89f0, universalism = 1.14f0)"
0,28,"(26, 19)",5.0,0,2,4,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 0.81f0, stimulation = -0.03f0, hedonism = -0.62f0, achievement = 0.37f0, power = -0.37f0, security = 0.33f0, conformity = 0.44f0, tradition = -1.08f0, benevolence = -0.01f0, universalism = 0.18f0)"
0,29,"(43, 15)",14.0,0,5,4,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 0.94f0, stimulation = -0.66f0, hedonism = -0.59f0, achievement = -0.8f0, power = -0.87f0, security = 0.42f0, conformity = -1.26f0, tradition = -0.02f0, benevolence = 1.63f0, universalism = 1.22f0)"
0,30,"(17, 36)",19.0,0,2,3,female,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 0.78f0, stimulation = 0.65f0, hedonism = -1.46f0, achievement = -0.94f0, power = -0.3f0, security = 0.87f0, conformity = 0.14f0, tradition = -0.87f0, benevolence = 0.62f0, universalism = 0.52f0)"
0,31,"(19, 39)",20.0,0,5,2,female,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 0.15f0, stimulation = -1.78f0, hedonism = -0.23f0, achievement = 0.16f0, power = -1.62f0, security = 1.18f0, conformity = 1.3f0, tradition = -0.13f0, benevolence = 1.16f0, universalism = -0.18f0)"
0,32,"(25, 41)",16.0,0,2,4,female,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 0.78f0, stimulation = -1.43f0, hedonism = -1.74f0, achievement = -1.3f0, power = -0.1f0, security = 1.53f0, conformity = -0.63f0, tradition = 0.89f0, benevolence = 0.83f0, universalism = 1.18f0)"
