time,id,pos,sugar,age,vision,metabolism,sex,culture,children,has_reproduced,total_inheritance_received,last_partner_id,last_credit_partner
15,17,"(13, 44)",37.0,15,1,2,male,"Bool[1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
15,18,"(36, 12)",2.0,15,5,4,female,"Bool[1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
15,21,"(6, 20)",9.0,15,4,1,female,"Bool[1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
15,23,"(28, 10)",51.0,15,2,1,male,"Bool[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
15,24,"(16, 40)",41.0,15,6,2,female,"Bool[0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
15,26,"(37, 12)",11.0,15,2,3,female,"Bool[1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
15,27,"(32, 4)",19.0,15,1,3,male,"Bool[0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
15,29,"(37, 10)",12.0,15,5,4,male,"Bool[1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
15,30,"(14, 41)",32.0,15,2,3,female,"Bool[0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
15,31,"(12, 39)",49.0,15,5,2,female,"Bool[1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
15,32,"(17, 41)",2.0,15,2,4,female,"Bool[1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
15,35,"(35, 9)",39.0,15,4,2,male,"Bool[1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
15,37,"(35, 10)",19.0,15,6,3,female,"Bool[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
15,38,"(34, 13)",52.0,15,2,1,female,"Bool[0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
15,40,"(14, 39)",18.0,15,5,4,female,"Bool[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
15,42,"(31, 11)",41.0,15,2,1,male,"Bool[1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
15,44,"(8, 49)",3.0,15,2,3,female,"Bool[1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
15,46,"(13, 42)",50.0,15,6,2,male,"Bool[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
15,50,"(14, 37)",44.0,15,5,2,female,"Bool[1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
16,2,"(18, 40)",51.0,16,6,1,male,"Bool[1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
16,5,"(16, 41)",65.0,16,6,1,female,"Bool[0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
16,7,"(11, 39)",42.0,16,1,1,male,"Bool[1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
16,8,"(32, 10)",24.0,16,4,3,male,"Bool[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
16,10,"(39, 9)",57.0,16,6,1,male,"Bool[1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
16,11,"(36, 9)",30.0,16,2,2,male,"Bool[1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
16,12,"(34, 7)",36.0,16,6,2,male,"Bool[1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
16,13,"(12, 40)",7.0,16,6,4,male,"Bool[0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
16,14,"(19, 38)",36.0,16,2,2,male,"Bool[0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
16,15,"(33, 8)",24.0,16,4,2,female,"Bool[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
16,17,"(13, 43)",38.0,16,1,2,male,"Bool[1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
16,18,"(35, 12)",2.0,16,5,4,female,"Bool[1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
16,21,"(6, 20)",8.0,16,4,1,female,"Bool[1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
16,23,"(29, 10)",53.0,16,2,1,male,"Bool[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
16,24,"(15, 40)",43.0,16,6,2,female,"Bool[0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
16,26,"(36, 13)",12.0,16,2,3,female,"Bool[1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
16,27,"(32, 5)",19.0,16,1,3,male,"Bool[0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
16,29,"(37, 11)",12.0,16,5,4,male,"Bool[1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
16,30,"(14, 40)",32.0,16,2,3,female,"Bool[0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
16,31,"(15, 39)",51.0,16,5,2,female,"Bool[1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
16,32,"(18, 41)",2.0,16,2,4,female,"Bool[1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
16,35,"(33, 9)",40.0,16,4,2,male,"Bool[1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
16,37,"(36, 11)",19.0,16,6,3,female,"Bool[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
16,38,"(35, 13)",55.0,16,2,1,female,"Bool[0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
16,40,"(14, 38)",18.0,16,5,4,female,"Bool[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
16,42,"(31, 10)",43.0,16,2,1,male,"Bool[1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
16,44,"(9, 49)",2.0,16,2,3,female,"Bool[1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
16,46,"(16, 43)",52.0,16,6,2,male,"Bool[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
