time,id,pos,sugar,age,vision,metabolism,sex,culture,children,has_reproduced,total_inheritance_received,last_partner_id,last_credit_partner
57,2,"(17, 39)",167.0,57,6,1,male,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
57,5,"(15, 42)",189.0,57,6,1,female,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
57,7,"(14, 33)",119.0,57,1,1,male,"Bool[0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
57,8,"(37, 10)",68.0,57,4,3,male,"Bool[1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
57,11,"(30, 5)",65.0,57,2,2,male,"Bool[1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
57,12,"(35, 10)",114.0,57,6,2,male,"Bool[0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
57,13,"(14, 40)",9.0,57,6,4,male,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
57,14,"(11, 35)",76.0,57,2,2,male,"Bool[0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
57,15,"(36, 8)",108.0,57,4,2,female,"Bool[1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
57,17,"(11, 30)",39.0,57,1,2,male,"Bool[1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
57,18,"(33, 9)",1.0,57,5,4,female,"Bool[0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
57,23,"(33, 4)",136.0,57,2,1,male,"Bool[1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
57,24,"(16, 41)",126.0,57,6,2,female,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
57,26,"(35, 4)",13.0,57,2,3,female,"Bool[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
57,29,"(33, 11)",12.0,57,5,4,male,"Bool[0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
57,30,"(15, 33)",32.0,57,2,3,female,"Bool[0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
57,31,"(14, 38)",131.0,57,5,2,female,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
57,37,"(36, 7)",60.0,57,6,3,female,"Bool[1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
57,38,"(31, 5)",167.0,57,2,1,female,"Bool[1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
