time,nagents,#133,#134,#135,#136,#137,#138,#139,#140,#141,#142
0,50,0,0,0,0.23110204081632646,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0.0,0.0,0,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
1,44,0,0,0,0.2757752451630002,"Dict(:p25 => 10.0, :p75 => 22.0, :p50 => 14.0, :p90 => 24.700000000000003, :p99 => 37.71, :p95 => 25.0)",6.30518716558813,1.0,0.0,6,"Dict{String, Real}(""total_attacks"" => 6, ""red_initiated_attacks"" => 4, ""red_attack_rate"" => 0.6666666666666666, ""blue_attack_rate"" => 0.3333333333333333, ""blue_initiated_attacks"" => 2)"
2,40,0,0,1,0.3412538699690404,"Dict(:p25 => 10.0, :p75 => 21.0, :p50 => 12.0, :p90 => 25.900000000000013, :p99 => 52.36999999999999, :p95 => 36.29999999999998)",3.188456658307483,2.0,0.0,9,"Dict{String, Real}(""total_attacks"" => 3, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 3)"
3,39,0,0,1,0.40139182303964227,"Dict(:p25 => 9.0, :p75 => 18.0, :p50 => 13.0, :p90 => 28.000000000000014, :p99 => 66.31999999999991, :p95 => 38.60000000000001)",2.2189714692417484,3.0,0.0,10,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 1)"
4,35,0,0,4,0.4265960009636234,"Dict(:p25 => 8.5, :p75 => 19.0, :p50 => 13.0, :p90 => 28.000000000000007, :p99 => 84.2799999999998, :p95 => 41.79999999999998)",1.8171841356295406,4.0,0.0,11,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 1)"
5,32,0,0,6,0.4486413043478261,"Dict(:p25 => 8.0, :p75 => 20.25, :p50 => 12.5, :p90 => 28.0, :p99 => 86.64000000000007, :p95 => 44.70000000000002)",2.6588107697038788,5.0,0.0,12,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 1)"
6,28,0,0,9,0.4502551020408163,"Dict(:p25 => 7.75, :p75 => 22.25, :p50 => 14.5, :p90 => 37.00000000000001, :p99 => 89.69000000000003, :p95 => 48.55000000000001)",2.324697067112578,6.0,0.0,13,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 1)"
7,27,0,0,10,0.4720562856763575,"Dict(:p25 => 7.0, :p75 => 24.5, :p50 => 15.0, :p90 => 40.00000000000002, :p99 => 91.0000000000001, :p95 => 51.60000000000002)",2.577195799619129,7.0,0.0,13,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
8,25,0,0,12,0.46785714285714275,"Dict(:p25 => 7.0, :p75 => 27.0, :p50 => 16.0, :p90 => 44.000000000000014, :p99 => 92.72000000000007, :p95 => 55.2)",2.85297313577387,8.0,0.0,13,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
9,23,0,0,13,0.4848018468641786,"Dict(:p25 => 6.5, :p75 => 30.0, :p50 => 16.0, :p90 => 56.000000000000014, :p99 => 95.20000000000005, :p95 => 63.60000000000001)",2.730777781274017,9.0,0.0,14,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 1)"
