Architecture,Value,Relative_to_Best,Relative_to_Worst
rule,446.0,Best (0.0%),+Inf%
bigfive,9.0,-98.0%,+Inf%
llm,0.0,-100.0%,Worst (0.0%)
schwartz,0.0,-100.0%,Worst (0.0%)
