Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,9.000,N/A,9.000,9.000,9.000,9.000,9.000
llm,1,4.000,N/A,4.000,4.000,4.000,4.000,4.000
rule,1,60.000,N/A,60.000,60.000,60.000,60.000,60.000
schwartz,1,7.000,N/A,7.000,7.000,7.000,7.000,7.000
