Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,20.778,N/A,20.778,20.778,20.778,20.778,20.778
llm,1,0.000,N/A,0.000,0.000,0.000,0.000,0.000
rule,1,36.354,N/A,36.354,36.354,36.354,36.354,36.354
schwartz,1,0.000,N/A,0.000,0.000,0.000,0.000,0.000
