Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,0.000,N/A,0.000,0.000,0.000,0.000,0.000
llm,1,0.000,N/A,0.000,0.000,0.000,0.000,0.000
rule,1,4097.791,N/A,4097.791,4097.791,4097.791,4097.791,4097.791
schwartz,1,0.000,N/A,0.000,0.000,0.000,0.000,0.000
