Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,27.000,N/A,27.000,27.000,27.000,27.000,27.000
llm,1,24.000,N/A,24.000,24.000,24.000,24.000,24.000
rule,1,71.000,N/A,71.000,71.000,71.000,71.000,71.000
schwartz,1,18.000,N/A,18.000,18.000,18.000,18.000,18.000
