time,combat_kills,combat_sugar_stolen,nagents,total_attacks,red_initiated_attacks,blue_initiated_attacks,red_attack_rate,blue_attack_rate
130,43,668.0,7,0,0,0,0.0,0.0
131,43,668.0,7,0,0,0,0.0,0.0
132,43,668.0,7,0,0,0,0.0,0.0
133,43,668.0,7,0,0,0,0.0,0.0
134,43,668.0,7,0,0,0,0.0,0.0
135,43,668.0,7,0,0,0,0.0,0.0
136,43,668.0,7,0,0,0,0.0,0.0
137,43,668.0,7,0,0,0,0.0,0.0
138,43,668.0,7,0,0,0,0.0,0.0
139,43,668.0,7,0,0,0,0.0,0.0
140,43,668.0,7,0,0,0,0.0,0.0
141,43,668.0,7,0,0,0,0.0,0.0
142,43,668.0,7,0,0,0,0.0,0.0
143,43,668.0,7,0,0,0,0.0,0.0
144,43,668.0,7,0,0,0,0.0,0.0
145,43,668.0,7,0,0,0,0.0,0.0
146,44,670.0,6,1,1,0,1.0,0.0
147,44,670.0,6,0,0,0,0.0,0.0
148,45,672.0,5,1,0,1,0.0,1.0
149,45,672.0,5,0,0,0,0.0,0.0
150,45,672.0,5,0,0,0,0.0,0.0
