time,id,pos,sugar,age,vision,metabolism,sex,children,has_reproduced,total_inheritance_received,last_partner_id,last_credit_partner,last_combat_partner,chose_not_to_attack,schwartz_values
0,17,"(13, 44)",22.0,0,1,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = 0.25f0, stimulation = -0.21f0, hedonism = -0.5f0, achievement = -0.8f0, power = -1.84f0, security = 1.81f0, conformity = -0.66f0, tradition = 0.99f0, benevolence = -0.12f0, universalism = 1.08f0)"
0,18,"(50, 21)",11.0,0,5,4,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = 0.96f0, stimulation = -3.33f0, hedonism = -1.97f0, achievement = -0.84f0, power = -1.58f0, security = 2.98f0, conformity = 0.12f0, tradition = 0.97f0, benevolence = 0.8f0, universalism = 1.89f0)"
0,19,"(48, 27)",22.0,0,4,2,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = 0.66f0, stimulation = -1.8f0, hedonism = 1.01f0, achievement = -0.85f0, power = -1.27f0, security = 2.0f0, conformity = -1.44f0, tradition = -0.54f0, benevolence = 1.52f0, universalism = 0.71f0)"
0,20,"(13, 9)",14.0,0,4,1,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = 2.07f0, stimulation = -1.35f0, hedonism = -1.05f0, achievement = 0.33f0, power = -1.22f0, security = 0.5f0, conformity = -0.34f0, tradition = -1.64f0, benevolence = 1.52f0, universalism = 1.18f0)"
0,21,"(6, 20)",24.0,0,4,1,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = 0.81f0, stimulation = 0.06f0, hedonism = -1.33f0, achievement = -0.05f0, power = -0.61f0, security = 0.48f0, conformity = -1.28f0, tradition = 0.19f0, benevolence = 1.48f0, universalism = 0.24f0)"
0,22,"(20, 18)",25.0,0,1,3,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = 0.6f0, stimulation = 0.66f0, hedonism = 0.44f0, achievement = -1.18f0, power = -0.84f0, security = -0.31f0, conformity = 0.31f0, tradition = -1.06f0, benevolence = 0.36f0, universalism = 1.03f0)"
0,23,"(31, 2)",23.0,0,2,1,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = -0.41f0, stimulation = -0.28f0, hedonism = -0.43f0, achievement = -0.62f0, power = -2.32f0, security = 0.49f0, conformity = 0.86f0, tradition = 0.94f0, benevolence = 1.39f0, universalism = 0.39f0)"
0,24,"(12, 50)",14.0,0,6,2,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = -0.81f0, stimulation = -2.39f0, hedonism = -2.43f0, achievement = 0.78f0, power = -1.72f0, security = 2.31f0, conformity = 1.01f0, tradition = 0.96f0, benevolence = 1.12f0, universalism = 1.17f0)"
0,25,"(10, 9)",18.0,0,2,3,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = -0.75f0, stimulation = -0.6f0, hedonism = -0.02f0, achievement = -0.77f0, power = -1.58f0, security = 0.02f0, conformity = 0.91f0, tradition = 1.6f0, benevolence = 1.09f0, universalism = 0.09f0)"
0,26,"(44, 18)",19.0,0,2,3,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = -0.82f0, stimulation = -1.82f0, hedonism = 0.34f0, achievement = -0.41f0, power = -0.87f0, security = 1.19f0, conformity = 0.56f0, tradition = -0.58f0, benevolence = 0.98f0, universalism = 1.43f0)"
