time,combat_kills,combat_sugar_stolen,nagents,total_attacks,red_initiated_attacks,blue_initiated_attacks,red_attack_rate,blue_attack_rate
112,44,611.0,6,0,0,0,0.0,0.0
113,44,611.0,6,0,0,0,0.0,0.0
114,44,611.0,6,0,0,0,0.0,0.0
115,44,611.0,6,0,0,0,0.0,0.0
116,44,611.0,6,0,0,0,0.0,0.0
117,44,611.0,6,0,0,0,0.0,0.0
118,44,611.0,6,0,0,0,0.0,0.0
119,44,611.0,6,0,0,0,0.0,0.0
120,46,650.0,4,1,1,0,1.0,0.0
121,46,650.0,4,0,0,0,0.0,0.0
122,46,650.0,4,0,0,0,0.0,0.0
123,46,650.0,4,0,0,0,0.0,0.0
124,46,650.0,4,0,0,0,0.0,0.0
125,46,650.0,4,0,0,0,0.0,0.0
126,46,650.0,4,0,0,0,0.0,0.0
127,46,650.0,4,0,0,0,0.0,0.0
128,46,650.0,4,0,0,0,0.0,0.0
129,46,650.0,4,0,0,0,0.0,0.0
130,46,650.0,4,0,0,0,0.0,0.0
131,46,650.0,4,0,0,0,0.0,0.0
132,46,650.0,4,0,0,0,0.0,0.0
133,46,650.0,4,0,0,0,0.0,0.0
134,46,650.0,4,0,0,0,0.0,0.0
135,46,650.0,4,0,0,0,0.0,0.0
136,47,677.0,3,1,0,1,0.0,1.0
137,47,677.0,3,0,0,0,0.0,0.0
138,47,677.0,3,0,0,0,0.0,0.0
139,47,677.0,3,0,0,0,0.0,0.0
140,47,677.0,3,0,0,0,0.0,0.0
141,47,677.0,3,0,0,0,0.0,0.0
142,47,677.0,3,0,0,0,0.0,0.0
143,47,677.0,3,0,0,0,0.0,0.0
144,47,677.0,3,0,0,0,0.0,0.0
145,47,677.0,3,0,0,0,0.0,0.0
146,47,677.0,3,0,0,0,0.0,0.0
147,47,677.0,3,0,0,0,0.0,0.0
148,47,677.0,3,0,0,0,0.0,0.0
149,47,677.0,3,0,0,0,0.0,0.0
150,47,677.0,3,0,0,0,0.0,0.0
