time,id,pos,sugar,age,vision,metabolism,sex,culture,children,loans_given,loans_owed,has_reproduced,total_inheritance_received,last_partner_id,last_credit_partner,last_combat_partner,chose_not_to_attack,chose_not_to_borrow,chose_not_to_lend,chose_not_to_reproduce,chose_not_to_spread_culture,schwartz_values
0,1,"(2, 21)",9.0,0,6,2,male,"Bool[0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]",Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],Int64[],false,false,false,false,false,"(self_direction = -1.2f0, stimulation = -0.65f0, hedonism = -2.9f0, achievement = -0.94f0, power = -0.48f0, security = 0.88f0, conformity = 2.37f0, tradition = 1.55f0, benevolence = 0.49f0, universalism = 0.87f0)"
0,2,"(10, 47)",6.0,0,6,1,male,"Bool[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1]",Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],Int64[],false,false,false,false,false,"(self_direction = 0.46f0, stimulation = -0.79f0, hedonism = -1.25f0, achievement = -1.03f0, power = -1.68f0, security = 1.93f0, conformity = 0.1f0, tradition = 0.09f0, benevolence = 1.67f0, universalism = 0.5f0)"
0,3,"(30, 6)",14.0,0,1,4,female,"Bool[0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1]",Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],Int64[],false,false,false,false,false,"(self_direction = 1.41f0, stimulation = -1.11f0, hedonism = 0.35f0, achievement = -1.41f0, power = -1.44f0, security = 1.31f0, conformity = -0.59f0, tradition = -0.36f0, benevolence = 0.63f0, universalism = 1.23f0)"
0,4,"(9, 13)",16.0,0,6,2,male,"Bool[1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0]",Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],Int64[],false,false,false,false,false,"(self_direction = 1.6f0, stimulation = -1.66f0, hedonism = 0.33f0, achievement = 0.19f0, power = -2.08f0, security = 1.21f0, conformity = -0.87f0, tradition = -0.49f0, benevolence = 0.69f0, universalism = 1.08f0)"
0,5,"(3, 34)",22.0,0,6,1,female,"Bool[1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0]",Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],Int64[],false,false,false,false,false,"(self_direction = 1.59f0, stimulation = -0.95f0, hedonism = -0.37f0, achievement = -1.92f0, power = -1.69f0, security = -0.38f0, conformity = -0.9f0, tradition = 0.78f0, benevolence = 1.87f0, universalism = 1.97f0)"
0,6,"(26, 27)",11.0,0,3,2,female,"Bool[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]",Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],Int64[],false,false,false,false,false,"(self_direction = -0.2f0, stimulation = -1.35f0, hedonism = -0.32f0, achievement = -1.02f0, power = -1.22f0, security = 1.29f0, conformity = 0.76f0, tradition = 1.99f0, benevolence = -0.23f0, universalism = 0.31f0)"
0,7,"(9, 40)",8.0,0,1,1,male,"Bool[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],Int64[],false,false,false,false,false,"(self_direction = -0.45f0, stimulation = -1.41f0, hedonism = -0.17f0, achievement = 1.22f0, power = -0.9f0, security = 0.77f0, conformity = -0.4f0, tradition = 1.45f0, benevolence = 0.17f0, universalism = -0.28f0)"
0,8,"(33, 22)",15.0,0,4,3,male,"Bool[1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1]",Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],Int64[],false,false,false,false,false,"(self_direction = -0.88f0, stimulation = -0.21f0, hedonism = 0.59f0, achievement = 0.54f0, power = -1.7f0, security = 0.29f0, conformity = -0.03f0, tradition = 0.45f0, benevolence = 0.38f0, universalism = 0.58f0)"
0,9,"(13, 19)",13.0,0,2,4,male,"Bool[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1]",Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],Int64[],false,false,false,false,false,"(self_direction = -0.23f0, stimulation = -0.81f0, hedonism = -1.03f0, achievement = -1.35f0, power = -1.65f0, security = 0.75f0, conformity = -0.17f0, tradition = 1.22f0, benevolence = 1.88f0, universalism = 1.39f0)"
0,10,"(39, 45)",14.0,0,6,1,male,"Bool[0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0]",Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],Int64[],false,false,false,false,false,"(self_direction = 1.27f0, stimulation = -1.22f0, hedonism = -1.1f0, achievement = -0.33f0, power = -2.18f0, security = 1.8f0, conformity = -0.85f0, tradition = 1.08f0, benevolence = 0.67f0, universalism = 0.86f0)"
