Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,40.000,N/A,40.000,40.000,40.000,40.000,40.000
rule,1,115.000,N/A,115.000,115.000,115.000,115.000,115.000
schwartz,1,45.000,N/A,45.000,45.000,45.000,45.000,45.000
