Architecture,Value,Relative_to_Best,Relative_to_Worst
rule,36.3542600896861,Best (0.0%),+111.3%
schwartz,18.677419354838708,-48.6%,+8.6%
bigfive,17.203007518796994,-52.7%,Worst (0.0%)
