Architecture,Value,Relative_to_Best,Relative_to_Worst
schwartz,0.3494249893764132,Best (0.0%),+26.0%
rule,0.3460283600840348,-1.0%,+24.8%
bigfive,0.27731566662297036,-20.6%,Worst (0.0%)
