Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,1242.065,N/A,1242.065,1242.065,1242.065,1242.065,1242.065
rule,1,4097.791,N/A,4097.791,4097.791,4097.791,4097.791,4097.791
schwartz,1,513.655,N/A,513.655,513.655,513.655,513.655,513.655
