Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,0.444,N/A,0.444,0.444,0.444,0.444,0.444
rule,1,0.296,N/A,0.296,0.296,0.296,0.296,0.296
schwartz,1,0.468,N/A,0.468,0.468,0.468,0.468,0.468
