Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,3.098,N/A,3.098,3.098,3.098,3.098,3.098
rule,1,2.431,N/A,2.431,2.431,2.431,2.431,2.431
schwartz,1,1.994,N/A,1.994,1.994,1.994,1.994,1.994
