Architecture,Value,Relative_to_Best,Relative_to_Worst
schwartz,0.4684033595646804,Best (0.0%),+58.1%
bigfive,0.4437864766812136,-5.3%,+49.8%
rule,0.2962498223038166,-36.8%,Worst (0.0%)
