Architecture,Value,Relative_to_Best,Relative_to_Worst
rule,4097.790711621355,Best (0.0%),+697.8%
bigfive,1242.0651346774698,-69.7%,+141.8%
schwartz,513.6552172851564,-87.5%,Worst (0.0%)
