Architecture,Value,Relative_to_Best,Relative_to_Worst
bigfive,3.0977216030436274,Best (0.0%),+55.4%
rule,2.431287326743598,-21.5%,+21.9%
schwartz,1.9937053321393021,-35.6%,Worst (0.0%)
