Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,17.203,N/A,17.203,17.203,17.203,17.203,17.203
rule,1,36.354,N/A,36.354,36.354,36.354,36.354,36.354
schwartz,1,18.677,N/A,18.677,18.677,18.677,18.677,18.677
