time,id,pos,sugar,age,vision,metabolism,sex,culture,children,has_reproduced,has_spread_culture,has_accepted_culture,total_inheritance_received,last_partner_id,last_credit_partner,chose_not_to_reproduce,chose_not_to_spread_culture,schwartz_values
0,1,"(2, 21)",9.0,0,6,2,male,"Bool[0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,false,"(self_direction = -0.67f0, stimulation = 0.01f0, hedonism = -0.64f0, achievement = 1.99f0, power = -0.13f0, security = 0.77f0, conformity = -0.61f0, tradition = -0.44f0, benevolence = 0.31f0, universalism = -0.59f0)"
0,2,"(10, 47)",6.0,0,6,1,male,"Bool[1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,false,"(self_direction = -0.02f0, stimulation = 0.38f0, hedonism = 1.26f0, achievement = -0.87f0, power = -0.32f0, security = 0.04f0, conformity = -0.66f0, tradition = -0.36f0, benevolence = 0.28f0, universalism = 0.28f0)"
0,3,"(30, 6)",14.0,0,1,4,female,"Bool[0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,false,"(self_direction = 0.49f0, stimulation = -1.05f0, hedonism = -1.09f0, achievement = -1.09f0, power = -2.26f0, security = 0.57f0, conformity = -0.11f0, tradition = 2.22f0, benevolence = 1.66f0, universalism = 0.65f0)"
0,4,"(9, 13)",16.0,0,6,2,male,"Bool[1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,false,"(self_direction = 1.17f0, stimulation = 1.81f0, hedonism = 0.81f0, achievement = -0.16f0, power = -1.22f0, security = -0.51f0, conformity = -2.68f0, tradition = -0.41f0, benevolence = 0.78f0, universalism = 0.41f0)"
0,5,"(3, 34)",22.0,0,6,1,female,"Bool[1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,false,"(self_direction = 0.17f0, stimulation = -1.65f0, hedonism = -1.3f0, achievement = -0.31f0, power = 0.24f0, security = 1.38f0, conformity = 1.51f0, tradition = -0.05f0, benevolence = -0.56f0, universalism = 0.58f0)"
0,6,"(26, 27)",11.0,0,3,2,female,"Bool[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,false,"(self_direction = -0.29f0, stimulation = -0.87f0, hedonism = 0.07f0, achievement = 0.17f0, power = -1.72f0, security = 0.21f0, conformity = 1.09f0, tradition = -0.57f0, benevolence = 0.86f0, universalism = 1.06f0)"
0,7,"(9, 40)",8.0,0,1,1,male,"Bool[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,false,"(self_direction = 1.04f0, stimulation = -1.65f0, hedonism = -0.9f0, achievement = 0.6f0, power = -0.55f0, security = 0.33f0, conformity = 0.26f0, tradition = 0.5f0, benevolence = -0.06f0, universalism = 0.42f0)"
0,8,"(33, 22)",15.0,0,4,3,male,"Bool[1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,false,"(self_direction = 0.69f0, stimulation = 0.14f0, hedonism = 0.97f0, achievement = -1.34f0, power = -2.01f0, security = 0.6f0, conformity = -0.2f0, tradition = -0.09f0, benevolence = 0.06f0, universalism = 1.17f0)"
0,9,"(13, 19)",13.0,0,2,4,male,"Bool[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,false,"(self_direction = 1.31f0, stimulation = -1.43f0, hedonism = 0.5f0, achievement = -1.66f0, power = -1.83f0, security = 1.21f0, conformity = -0.03f0, tradition = 0.52f0, benevolence = 0.31f0, universalism = 1.09f0)"
0,10,"(39, 45)",14.0,0,6,1,male,"Bool[0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,false,"(self_direction = -0.93f0, stimulation = 0.31f0, hedonism = 0.1f0, achievement = -2.48f0, power = -1.49f0, security = 1.09f0, conformity = 1.01f0, tradition = 0.81f0, benevolence = 0.84f0, universalism = 0.72f0)"
