Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,0.508,NaN,0.508,0.508,0.508,0.508,0.508
llm,1,0.475,NaN,0.475,0.475,0.475,0.475,0.475
rule,1,0.481,NaN,0.481,0.481,0.481,0.481,0.481
schwartz,1,0.432,NaN,0.432,0.432,0.432,0.432,0.432
