Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,0.508,N/A,0.508,0.508,0.508,0.508,0.508
llm,1,0.475,N/A,0.475,0.475,0.475,0.475,0.475
rule,1,0.481,N/A,0.481,0.481,0.481,0.481,0.481
schwartz,1,0.432,N/A,0.432,0.432,0.432,0.432,0.432
