Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,39.900,N/A,39.900,39.900,39.900,39.900,39.900
llm,1,27.796,N/A,27.796,27.796,27.796,27.796,27.796
rule,1,0.820,N/A,0.820,0.820,0.820,0.820,0.820
schwartz,1,15.000,N/A,15.000,15.000,15.000,15.000,15.000
