time,nagents,#153,#154,#155,#156,#157,#158,#159,#160,#161,#162,#163,#164,#165,#166,#167,#168,#169,#170,#171,#172
0,50,0,0,0,0.23110204081632646,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0.0,0.0,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,29,21,"Dict(""blue_proportion"" => 0.42, ""red_proportion"" => 0.58)","Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0,0,"Dict{String, Real}(""red_transmission_rate"" => 0.0, ""blue_transmission_rate"" => 0.0, ""blue_initiated_transmissions"" => 0, ""red_initiated_transmissions"" => 0, ""total_transmissions"" => 0)"
1,50,0,0,0,0.25795918367346937,"Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 13.0, :p90 => 23.0, :p99 => 24.509999999999998, :p95 => 23.0)",25.467857350961356,1.0,0.0,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,28,22,"Dict(""blue_proportion"" => 0.44, ""red_proportion"" => 0.56)","Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 13.0, :p90 => 23.0, :p99 => 24.509999999999998, :p95 => 23.0)",25.467857350961356,0,0,"Dict{String, Real}(""red_transmission_rate"" => 0.0, ""blue_transmission_rate"" => 1.0, ""blue_initiated_transmissions"" => 1, ""red_initiated_transmissions"" => 0, ""total_transmissions"" => 1)"
2,49,0,0,1,0.29243250095069073,"Dict(:p25 => 8.0, :p75 => 19.0, :p50 => 12.0, :p90 => 23.0, :p99 => 26.039999999999992, :p95 => 24.0)",9.300266657544759,2.0,0.0,3.8635285764551224,"Dict{String, Real}(""unique_cultures"" => 48, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0234375)",0.0,0.0,29,20,"Dict(""blue_proportion"" => 0.40816326530612246, ""red_proportion"" => 0.5918367346938775)","Dict(:p25 => 8.0, :p75 => 19.0, :p50 => 12.0, :p90 => 23.0, :p99 => 26.039999999999992, :p95 => 24.0)",9.300266657544759,0,1,"Dict{String, Real}(""red_transmission_rate"" => 0.3333333333333333, ""blue_transmission_rate"" => 0.6666666666666666, ""blue_initiated_transmissions"" => 2, ""red_initiated_transmissions"" => 1, ""total_transmissions"" => 3)"
3,47,0,0,3,0.33192882264860546,"Dict(:p25 => 7.5, :p75 => 18.5, :p50 => 11.0, :p90 => 23.80000000000001, :p99 => 28.08, :p95 => 26.0)",9.11446775580514,3.0,0.0,3.8501476017100575,"Dict{String, Real}(""unique_cultures"" => 47, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02294921875)",0.0,0.0,30,17,"Dict(""blue_proportion"" => 0.3617021276595745, ""red_proportion"" => 0.6382978723404256)","Dict(:p25 => 7.5, :p75 => 18.5, :p50 => 11.0, :p90 => 23.80000000000001, :p99 => 28.08, :p95 => 26.0)",9.11446775580514,0,3,"Dict{String, Real}(""red_transmission_rate"" => 0.6, ""blue_transmission_rate"" => 0.4, ""blue_initiated_transmissions"" => 2, ""red_initiated_transmissions"" => 3, ""total_transmissions"" => 5)"
4,44,0,0,6,0.3506603194103195,"Dict(:p25 => 7.0, :p75 => 20.0, :p50 => 11.5, :p90 => 26.400000000000006, :p99 => 30.14, :p95 => 28.0)",5.410516925044529,4.0,0.0,3.752682943892813,"Dict{String, Real}(""unique_cultures"" => 43, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02099609375)",0.0,0.0,28,16,"Dict(""blue_proportion"" => 0.36363636363636365, ""red_proportion"" => 0.6363636363636364)","Dict(:p25 => 7.0, :p75 => 20.0, :p50 => 11.5, :p90 => 26.400000000000006, :p99 => 30.14, :p95 => 28.0)",5.410516925044529,0,6,"Dict{String, Real}(""red_transmission_rate"" => 0.4, ""blue_transmission_rate"" => 0.6, ""blue_initiated_transmissions"" => 6, ""red_initiated_transmissions"" => 4, ""total_transmissions"" => 10)"
5,40,0,0,10,0.34773504273504274,"Dict(:p25 => 7.75, :p75 => 20.25, :p50 => 12.5, :p90 => 29.1, :p99 => 32.22, :p95 => 30.049999999999997)",4.813523531936834,5.0,0.0,3.6888794541139402,"Dict{String, Real}(""unique_cultures"" => 40, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01953125)",0.0,0.0,26,14,"Dict(""blue_proportion"" => 0.35, ""red_proportion"" => 0.65)","Dict(:p25 => 7.75, :p75 => 20.25, :p50 => 12.5, :p90 => 29.1, :p99 => 32.22, :p95 => 30.049999999999997)",4.813523531936834,0,10,"Dict{String, Real}(""red_transmission_rate"" => 0.5, ""blue_transmission_rate"" => 0.5, ""blue_initiated_transmissions"" => 2, ""red_initiated_transmissions"" => 2, ""total_transmissions"" => 4)"
6,37,0,0,13,0.35070565445992075,"Dict(:p25 => 8.0, :p75 => 23.0, :p50 => 13.0, :p90 => 31.0, :p99 => 34.64, :p95 => 32.400000000000006)",4.556843241395187,6.0,0.0,3.610917912644226,"Dict{String, Real}(""unique_cultures"" => 37, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01806640625)",0.0,0.0,25,12,"Dict(""blue_proportion"" => 0.32432432432432434, ""red_proportion"" => 0.6756756756756757)","Dict(:p25 => 8.0, :p75 => 23.0, :p50 => 13.0, :p90 => 31.0, :p99 => 34.64, :p95 => 32.400000000000006)",4.556843241395187,0,13,"Dict{String, Real}(""red_transmission_rate"" => 0.5, ""blue_transmission_rate"" => 0.5, ""blue_initiated_transmissions"" => 3, ""red_initiated_transmissions"" => 3, ""total_transmissions"" => 6)"
7,35,0,0,15,0.35623506927854764,"Dict(:p25 => 7.5, :p75 => 25.5, :p50 => 15.0, :p90 => 33.6, :p99 => 37.66, :p95 => 34.89999999999999)",4.0818959942838955,7.0,0.0,3.5157396511717027,"Dict{String, Real}(""unique_cultures"" => 34, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0166015625)",0.0,0.0,22,13,"Dict(""blue_proportion"" => 0.37142857142857144, ""red_proportion"" => 0.6285714285714286)","Dict(:p25 => 7.5, :p75 => 25.5, :p50 => 15.0, :p90 => 33.6, :p99 => 37.66, :p95 => 34.89999999999999)",4.0818959942838955,0,15,"Dict{String, Real}(""red_transmission_rate"" => 0.42857142857142855, ""blue_transmission_rate"" => 0.5714285714285714, ""blue_initiated_transmissions"" => 4, ""red_initiated_transmissions"" => 3, ""total_transmissions"" => 7)"
8,33,0,0,17,0.3602638496255517,"Dict(:p25 => 7.0, :p75 => 28.0, :p50 => 17.0, :p90 => 35.8, :p99 => 40.68, :p95 => 38.2)",8.95925385894813,8.0,0.0,3.4544986414325436,"Dict{String, Real}(""unique_cultures"" => 32, ""max_possible"" => 2048, ""diversity_ratio"" => 0.015625)",0.0,0.0,21,12,"Dict(""blue_proportion"" => 0.36363636363636365, ""red_proportion"" => 0.6363636363636364)","Dict(:p25 => 7.0, :p75 => 28.0, :p50 => 17.0, :p90 => 35.8, :p99 => 40.68, :p95 => 38.2)",8.95925385894813,0,17,"Dict{String, Real}(""red_transmission_rate"" => 0.5, ""blue_transmission_rate"" => 0.5, ""blue_initiated_transmissions"" => 3, ""red_initiated_transmissions"" => 3, ""total_transmissions"" => 6)"
9,32,0,0,18,0.3705357142857142,"Dict(:p25 => 6.0, :p75 => 30.0, :p50 => 18.0, :p90 => 37.900000000000006, :p99 => 43.69, :p95 => 41.35000000000001)",7.050771937596147,9.0,0.0,3.4224142040147285,"Dict{String, Real}(""unique_cultures"" => 31, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01513671875)",0.0,0.0,20,12,"Dict(""blue_proportion"" => 0.375, ""red_proportion"" => 0.625)","Dict(:p25 => 6.0, :p75 => 30.0, :p50 => 18.0, :p90 => 37.900000000000006, :p99 => 43.69, :p95 => 41.35000000000001)",7.050771937596147,0,18,"Dict{String, Real}(""red_transmission_rate"" => 0.6428571428571429, ""blue_transmission_rate"" => 0.35714285714285715, ""blue_initiated_transmissions"" => 5, ""red_initiated_transmissions"" => 9, ""total_transmissions"" => 14)"
