time,nagents,#153,#154,#155,#156,#157,#158,#159,#160,#161,#162,#163,#164,#165,#166,#167,#168,#169,#170,#171,#172
0,50,0,0,0,0.23110204081632646,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0.0,0.0,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,29,21,"Dict(""blue_proportion"" => 0.42, ""red_proportion"" => 0.58)","Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0,0,"Dict{String, Real}(""red_transmission_rate"" => 0.0, ""blue_transmission_rate"" => 0.0, ""blue_initiated_transmissions"" => 0, ""red_initiated_transmissions"" => 0, ""total_transmissions"" => 0)"
1,50,0,0,0,0.26029197080291966,"Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 13.0, :p90 => 23.0, :p99 => 24.509999999999998, :p95 => 23.0)",25.467857350961356,1.0,0.0,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,28,22,"Dict(""blue_proportion"" => 0.44, ""red_proportion"" => 0.56)","Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 13.0, :p90 => 23.0, :p99 => 24.509999999999998, :p95 => 23.0)",25.467857350961356,0,0,"Dict{String, Real}(""red_transmission_rate"" => 0.0, ""blue_transmission_rate"" => 1.0, ""blue_initiated_transmissions"" => 2, ""red_initiated_transmissions"" => 0, ""total_transmissions"" => 2)"
2,49,0,0,1,0.2935192885931801,"Dict(:p25 => 8.0, :p75 => 19.0, :p50 => 12.0, :p90 => 22.200000000000003, :p99 => 25.559999999999988, :p95 => 23.6)",11.344145042533077,2.0,0.0,3.8635285764551224,"Dict{String, Real}(""unique_cultures"" => 48, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0234375)",0.0,0.0,28,21,"Dict(""blue_proportion"" => 0.42857142857142855, ""red_proportion"" => 0.5714285714285714)","Dict(:p25 => 8.0, :p75 => 19.0, :p50 => 12.0, :p90 => 22.200000000000003, :p99 => 25.559999999999988, :p95 => 23.6)",11.344145042533077,0,1,"Dict{String, Real}(""red_transmission_rate"" => 0.2, ""blue_transmission_rate"" => 0.8, ""blue_initiated_transmissions"" => 4, ""red_initiated_transmissions"" => 1, ""total_transmissions"" => 5)"
3,47,0,0,3,0.3303173817770553,"Dict(:p25 => 7.5, :p75 => 18.5, :p50 => 11.0, :p90 => 23.0, :p99 => 27.619999999999997, :p95 => 25.400000000000006)",7.7690917297365365,3.0,0.0,3.820651977005379,"Dict{String, Real}(""unique_cultures"" => 46, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0224609375)",0.0,0.0,29,18,"Dict(""blue_proportion"" => 0.3829787234042553, ""red_proportion"" => 0.6170212765957447)","Dict(:p25 => 7.5, :p75 => 18.5, :p50 => 11.0, :p90 => 23.0, :p99 => 27.619999999999997, :p95 => 25.400000000000006)",7.7690917297365365,0,3,"Dict{String, Real}(""red_transmission_rate"" => 1.0, ""blue_transmission_rate"" => 0.0, ""blue_initiated_transmissions"" => 0, ""red_initiated_transmissions"" => 1, ""total_transmissions"" => 1)"
4,43,0,0,7,0.33702917984229264,"Dict(:p25 => 7.5, :p75 => 20.0, :p50 => 12.0, :p90 => 25.0, :p99 => 29.739999999999995, :p95 => 27.699999999999996)",5.06694430569096,4.0,0.0,3.728960711946591,"Dict{String, Real}(""unique_cultures"" => 42, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0205078125)",0.0,0.0,29,14,"Dict(""blue_proportion"" => 0.32558139534883723, ""red_proportion"" => 0.6744186046511628)","Dict(:p25 => 7.5, :p75 => 20.0, :p50 => 12.0, :p90 => 25.0, :p99 => 29.739999999999995, :p95 => 27.699999999999996)",5.06694430569096,0,7,"Dict{String, Real}(""red_transmission_rate"" => 0.5, ""blue_transmission_rate"" => 0.5, ""blue_initiated_transmissions"" => 3, ""red_initiated_transmissions"" => 3, ""total_transmissions"" => 6)"
5,39,0,0,11,0.3331095896540923,"Dict(:p25 => 8.0, :p75 => 21.0, :p50 => 13.0, :p90 => 27.200000000000003, :p99 => 31.859999999999992, :p95 => 30.0)",6.268372729732906,5.0,0.0,3.592469627610674,"Dict{String, Real}(""unique_cultures"" => 37, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01806640625)",0.0,0.0,26,13,"Dict(""blue_proportion"" => 0.3333333333333333, ""red_proportion"" => 0.6666666666666666)","Dict(:p25 => 8.0, :p75 => 21.0, :p50 => 13.0, :p90 => 27.200000000000003, :p99 => 31.859999999999992, :p95 => 30.0)",6.268372729732906,0,11,"Dict{String, Real}(""red_transmission_rate"" => 0.7777777777777778, ""blue_transmission_rate"" => 0.2222222222222222, ""blue_initiated_transmissions"" => 2, ""red_initiated_transmissions"" => 7, ""total_transmissions"" => 9)"
6,36,0,0,14,0.3380356796587165,"Dict(:p25 => 8.0, :p75 => 22.25, :p50 => 14.0, :p90 => 30.0, :p99 => 34.3, :p95 => 32.25)",5.378589390876502,6.0,0.0,3.545010761758336,"Dict{String, Real}(""unique_cultures"" => 35, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01708984375)",0.0,0.0,25,11,"Dict(""blue_proportion"" => 0.3055555555555556, ""red_proportion"" => 0.6944444444444444)","Dict(:p25 => 8.0, :p75 => 22.25, :p50 => 14.0, :p90 => 30.0, :p99 => 34.3, :p95 => 32.25)",5.378589390876502,0,14,"Dict{String, Real}(""red_transmission_rate"" => 0.4, ""blue_transmission_rate"" => 0.6, ""blue_initiated_transmissions"" => 3, ""red_initiated_transmissions"" => 2, ""total_transmissions"" => 5)"
7,35,0,0,15,0.3625276616670765,"Dict(:p25 => 7.5, :p75 => 24.0, :p50 => 16.0, :p90 => 32.400000000000006, :p99 => 36.66, :p95 => 34.599999999999994)",4.771409006638891,7.0,0.0,3.5157396511717023,"Dict{String, Real}(""unique_cultures"" => 34, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0166015625)",0.0,0.0,24,11,"Dict(""blue_proportion"" => 0.3142857142857143, ""red_proportion"" => 0.6857142857142857)","Dict(:p25 => 7.5, :p75 => 24.0, :p50 => 16.0, :p90 => 32.400000000000006, :p99 => 36.66, :p95 => 34.599999999999994)",4.771409006638891,0,15,"Dict{String, Real}(""red_transmission_rate"" => 0.2, ""blue_transmission_rate"" => 0.8, ""blue_initiated_transmissions"" => 4, ""red_initiated_transmissions"" => 1, ""total_transmissions"" => 5)"
8,32,0,0,18,0.3494510135135136,"Dict(:p25 => 7.75, :p75 => 27.0, :p50 => 17.5, :p90 => 35.60000000000001, :p99 => 39.0, :p95 => 37.900000000000006)",7.340706452210094,8.0,0.0,3.4224142040147285,"Dict{String, Real}(""unique_cultures"" => 31, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01513671875)",0.0,0.0,23,9,"Dict(""blue_proportion"" => 0.28125, ""red_proportion"" => 0.71875)","Dict(:p25 => 7.75, :p75 => 27.0, :p50 => 17.5, :p90 => 35.60000000000001, :p99 => 39.0, :p95 => 37.900000000000006)",7.340706452210094,0,18,"Dict{String, Real}(""red_transmission_rate"" => 0.5, ""blue_transmission_rate"" => 0.5, ""blue_initiated_transmissions"" => 2, ""red_initiated_transmissions"" => 2, ""total_transmissions"" => 4)"
9,31,0,0,19,0.3568548387096775,"Dict(:p25 => 8.0, :p75 => 28.0, :p50 => 20.0, :p90 => 38.00000000000001, :p99 => 41.7, :p95 => 40.5)",6.345611534783046,9.0,0.0,3.3892680315457953,"Dict{String, Real}(""unique_cultures"" => 30, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0146484375)",0.0,0.0,22,9,"Dict(""blue_proportion"" => 0.2903225806451613, ""red_proportion"" => 0.7096774193548387)","Dict(:p25 => 8.0, :p75 => 28.0, :p50 => 20.0, :p90 => 38.00000000000001, :p99 => 41.7, :p95 => 40.5)",6.345611534783046,0,19,"Dict{String, Real}(""red_transmission_rate"" => 0.625, ""blue_transmission_rate"" => 0.375, ""blue_initiated_transmissions"" => 3, ""red_initiated_transmissions"" => 5, ""total_transmissions"" => 8)"
10,31,0,0,19,0.38338064516129045,"Dict(:p25 => 7.0, :p75 => 29.0, :p50 => 21.0, :p90 => 40.000000000000014, :p99 => 44.400000000000006, :p95 => 43.0)",6.372893188204392,10.0,0.0,3.3892680315457953,"Dict{String, Real}(""unique_cultures"" => 30, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0146484375)",0.0,0.0,23,8,"Dict(""blue_proportion"" => 0.25806451612903225, ""red_proportion"" => 0.7419354838709677)","Dict(:p25 => 7.0, :p75 => 29.0, :p50 => 21.0, :p90 => 40.000000000000014, :p99 => 44.400000000000006, :p95 => 43.0)",6.372893188204392,0,19,"Dict{String, Real}(""red_transmission_rate"" => 0.5, ""blue_transmission_rate"" => 0.5, ""blue_initiated_transmissions"" => 4, ""red_initiated_transmissions"" => 4, ""total_transmissions"" => 8)"
11,29,0,0,21,0.3704341277099359,"Dict(:p25 => 11.0, :p75 => 32.0, :p50 => 22.0, :p90 => 42.60000000000001, :p99 => 47.440000000000005, :p95 => 45.6)",7.206377483911605,11.0,0.0,3.2716893223230317,"Dict{String, Real}(""unique_cultures"" => 27, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01318359375)",0.0,0.0,21,8,"Dict(""blue_proportion"" => 0.27586206896551724, ""red_proportion"" => 0.7241379310344828)","Dict(:p25 => 11.0, :p75 => 32.0, :p50 => 22.0, :p90 => 42.60000000000001, :p99 => 47.440000000000005, :p95 => 45.6)",7.206377483911605,0,21,"Dict{String, Real}(""red_transmission_rate"" => 0.6666666666666666, ""blue_transmission_rate"" => 0.3333333333333333, ""blue_initiated_transmissions"" => 2, ""red_initiated_transmissions"" => 4, ""total_transmissions"" => 6)"
12,28,0,0,22,0.3686147186147186,"Dict(:p25 => 11.75, :p75 => 33.75, :p50 => 24.5, :p90 => 44.900000000000006, :p99 => 50.459999999999994, :p95 => 48.300000000000004)",8.282329373548801,12.0,0.0,3.233183484380926,"Dict{String, Real}(""unique_cultures"" => 26, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0126953125)",0.0,0.0,19,9,"Dict(""blue_proportion"" => 0.32142857142857145, ""red_proportion"" => 0.6785714285714286)","Dict(:p25 => 11.75, :p75 => 33.75, :p50 => 24.5, :p90 => 44.900000000000006, :p99 => 50.459999999999994, :p95 => 48.300000000000004)",8.282329373548801,0,22,"Dict{String, Real}(""red_transmission_rate"" => 0.5, ""blue_transmission_rate"" => 0.5, ""blue_initiated_transmissions"" => 2, ""red_initiated_transmissions"" => 2, ""total_transmissions"" => 4)"
13,26,0,0,24,0.3356643356643356,"Dict(:p25 => 13.25, :p75 => 36.5, :p50 => 28.5, :p90 => 47.500000000000014, :p99 => 52.75, :p95 => 51.250000000000014)",9.896310593071592,13.0,0.0,3.2047775241322567,"Dict{String, Real}(""unique_cultures"" => 25, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01220703125)",0.0,0.0,19,7,"Dict(""blue_proportion"" => 0.2692307692307692, ""red_proportion"" => 0.7307692307692307)","Dict(:p25 => 13.25, :p75 => 36.5, :p50 => 28.5, :p90 => 47.500000000000014, :p99 => 52.75, :p95 => 51.250000000000014)",9.896310593071592,0,24,"Dict{String, Real}(""red_transmission_rate"" => 0.6666666666666666, ""blue_transmission_rate"" => 0.3333333333333333, ""blue_initiated_transmissions"" => 1, ""red_initiated_transmissions"" => 2, ""total_transmissions"" => 3)"
