time,total_credit_outstanding,credit_default_rate,gini_coefficient,nagents
0,0.0,0.0,0.23110204081632646,50
1,0.0,0.0,0.26111273792093703,50
2,0.0,0.0,0.2978159126365054,50
3,0.0,0.0,0.31965785381026435,50
4,0.0,0.0,0.3404368174726988,50
5,0.0,0.0,0.3496385542168674,50
6,0.0,0.0,0.350677966101695,50
7,0.0,0.0,0.3558730158730159,50
8,0.0,0.0,0.3609547738693468,50
9,0.0,0.0,0.36758620689655164,50
10,0.0,0.0,0.37443678160919536,50
11,0.0,0.0,0.3638779956427014,50
12,0.0,0.0,0.34697061803444784,50
13,0.0,0.0,0.35534246575342454,50
14,0.0,0.0,0.343253234750462,50
15,0.0,0.0,0.35298561151079144,50
16,0.0,0.0,0.35600688468158337,50
17,0.0,0.0,0.3673031825795645,50
18,0.0,0.0,0.37243941841680117,50
19,10.0,0.0,0.3512844036697247,50
20,11.0,0.0,0.35808463251670375,50
21,12.0,0.0,0.36647398843930623,50
22,16.0,0.0,0.37994322214336407,50
23,16.0,0.0,0.39376912378303186,50
24,17.0,0.0,0.3896718017414602,50
25,17.0,0.0,0.3715668789808917,50
26,17.0,0.0,0.3715569230769231,50
27,17.0,0.0,0.3722580645161291,50
28,17.0,0.0,0.37772225450319574,50
29,18.0,0.2,0.37907396950875216,50
30,23.2,0.14285714285714285,0.38323578133627834,50
31,22.2,0.16666666666666666,0.36225619399051134,50
32,27.3,0.14285714285714285,0.3658802889576882,50
33,34.7,0.1111111111111111,0.36346975806451587,50
34,35.900000000000006,0.1,0.3655862068965514,50
35,36.60000000000001,0.09090909090909091,0.3688543876567021,50
36,40.60000000000001,0.08333333333333333,0.36608015087223,50
37,40.900000000000006,0.07692307692307693,0.3676068297185049,50
38,41.900000000000006,0.07142857142857142,0.36779023508137443,50
39,30.900000000000006,0.0,0.3758353982300884,50
40,30.210000000000004,0.25,0.3786785095320624,50
41,30.210000000000004,0.25,0.3694352842105264,50
42,21.110000000000003,0.2,0.37680016549441464,50
43,27.44,0.0,0.36893045012382064,50
44,32.34,0.125,0.36167478800151875,50
45,33.550000000000004,0.1111111111111111,0.355680410300774,50
46,33.95,0.1111111111111111,0.3624127765621201,50
47,41.98000000000001,0.09090909090909091,0.3572558742070937,50
48,42.080000000000005,0.18181818181818182,0.35823652331477507,50
49,42.080000000000005,0.18181818181818182,0.3504597341228044,50
50,38.88,0.3,0.3532168605546453,50
51,39.88,0.2727272727272727,0.3524158440378342,50
52,39.88,0.2727272727272727,0.3536949924127466,50
53,25.35,0.2,0.36351545774085325,50
54,19.35,0.1111111111111111,0.36825996622285073,50
55,18.14,0.25,0.3696728991217906,50
56,16.740000000000002,0.25,0.3726000279425399,50
57,8.41,0.0,0.36795826525139397,50
58,13.559999999999999,0.0,0.36828887276662203,50
59,13.559999999999999,0.0,0.370482262808177,50
60,23.791,0.0,0.40099585908212987,50
61,23.791,0.14285714285714285,0.39743056707420243,50
62,23.791,0.14285714285714285,0.40807533176904,50
63,24.791,0.125,0.4122319022953089,50
64,24.791,0.125,0.4165167402251573,50
65,24.791,0.125,0.42310349218362986,50
66,18.591,0.0,0.41223811601984206,50
67,18.591,0.0,0.4261602196545977,50
68,3.541,0.0,0.4512308740797073,50
69,13.541,0.0,0.46409776966981453,50
70,11.0,0.5,0.47161444849786305,50
71,11.0,0.5,0.47834888197878733,50
72,11.0,0.5,0.4719627617949338,50
73,13.0,0.0,0.4682698514624699,50
74,13.0,0.0,0.4772599791301426,50
75,13.0,0.0,0.47657039414492774,50
76,13.0,0.0,0.48814202617223756,50
77,13.0,0.0,0.4869201168112005,50
78,13.0,0.0,0.47613656583492525,50
79,3.0,0.0,0.4824613566008267,50
80,3.0,0.0,0.4771281051890677,50
81,6.1,0.0,0.46665917558141623,50
82,6.1,0.0,0.47852298434563134,50
83,5.1,0.0,0.49416291138627044,50
84,5.1,0.0,0.49374414030302405,50
85,8.3,0.0,0.49380972398009404,50
86,10.299999999999999,0.0,0.48753567134692544,50
87,11.299999999999999,0.0,0.4855000851263269,50
88,11.299999999999999,0.0,0.5013320869942626,50
89,9.299999999999999,0.0,0.4998241250103552,50
90,11.299999999999999,0.0,0.49241943179136216,50
91,7.2,0.0,0.5072970705203224,50
92,9.41,0.0,0.5150375622235106,50
93,10.41,0.0,0.5212232586841277,50
94,11.71,0.0,0.5055814782726733,50
95,12.03,0.0,0.4951602429359836,50
96,12.03,0.0,0.4927753536027537,50
97,12.03,0.0,0.49840381386527977,50
98,10.03,0.0,0.5028477173018921,50
99,9.03,0.0,0.4936880037456943,50
100,7.029999999999999,0.0,0.4901945220245971,50
101,7.029999999999999,0.0,0.492511521107311,50
102,4.82,0.0,0.4794075375604785,50
103,4.82,0.0,0.47124250361350795,50
104,3.52,0.0,0.44162916456624357,50
105,0.0,0.0,0.4469638201338666,50
106,0.0,0.0,0.4486616411117492,50
107,12.0,1.0,0.43266130488305277,50
108,12.0,1.0,0.43535251309134826,50
109,12.0,1.0,0.44759599675218364,50
110,12.0,1.0,0.4604925244093989,50
111,12.0,1.0,0.452959216635453,50
112,12.0,1.0,0.4499600482686539,50
113,12.0,1.0,0.452163811756618,50
114,12.0,1.0,0.45322614355278623,50
115,13.0,0.5,0.43919213056363304,50
116,13.0,0.5,0.4356096855669871,50
117,11.0,0.5,0.44130526894058564,50
118,14.2,0.3333333333333333,0.42440161048096225,50
119,14.200000000000003,0.0,0.4209191584627787,50
120,14.200000000000003,0.0,0.42452527363143155,50
121,14.2,0.3333333333333333,0.42114277889012297,50
