Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,40.000,N/A,40.000,40.000,40.000,40.000,40.000
rule,1,115.000,N/A,115.000,115.000,115.000,115.000,115.000
schwartz,1,27.000,N/A,27.000,27.000,27.000,27.000,27.000
