Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,446.000,N/A,446.000,446.000,446.000,446.000,446.000
rule,1,642.000,N/A,642.000,642.000,642.000,642.000,642.000
schwartz,1,2.000,N/A,2.000,2.000,2.000,2.000,2.000
