Architecture,Value,Relative_to_Best,Relative_to_Worst
rule,0.3460283600840348,Best (0.0%),+Inf%
bigfive,0.27731566662297036,-19.9%,+Inf%
schwartz,0.0,-100.0%,Worst (0.0%)
