Architecture,Value,Relative_to_Best,Relative_to_Worst
bigfive,3.0977216030436274,Best (0.0%),+Inf%
rule,2.431287326743598,-21.5%,+Inf%
schwartz,0.0,-100.0%,Worst (0.0%)
