Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,0.345,N/A,0.345,0.345,0.345,0.345,0.345
rule,1,0.442,N/A,0.442,0.442,0.442,0.442,0.442
schwartz,1,0.000,N/A,0.000,0.000,0.000,0.000,0.000
