Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,399.000,N/A,399.000,399.000,399.000,399.000,399.000
rule,1,446.000,N/A,446.000,446.000,446.000,446.000,446.000
schwartz,1,0.000,N/A,0.000,0.000,0.000,0.000,0.000
