Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,3.098,N/A,3.098,3.098,3.098,3.098,3.098
rule,1,2.431,N/A,2.431,2.431,2.431,2.431,2.431
schwartz,1,0.000,N/A,0.000,0.000,0.000,0.000,0.000
