Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,33.000,N/A,33.000,33.000,33.000,33.000,33.000
rule,1,60.000,N/A,60.000,60.000,60.000,60.000,60.000
schwartz,1,7.000,N/A,7.000,7.000,7.000,7.000,7.000
