Architecture,Value,Relative_to_Best,Relative_to_Worst
bigfive,12.0,Best (0.0%),+100.0%
llm,11.0,-8.3%,+83.3%
schwartz,7.0,-41.7%,+16.7%
rule,6.0,-50.0%,Worst (0.0%)
