Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,4.000,N/A,4.000,4.000,4.000,4.000,4.000
llm,1,6.000,N/A,6.000,6.000,6.000,6.000,6.000
rule,1,10.000,N/A,10.000,10.000,10.000,10.000,10.000
schwartz,1,14.000,N/A,14.000,14.000,14.000,14.000,14.000
