Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,30.000,N/A,30.000,30.000,30.000,30.000,30.000
llm,1,15.000,N/A,15.000,15.000,15.000,15.000,15.000
rule,1,16.500,N/A,16.500,16.500,16.500,16.500,16.500
schwartz,1,3.710,N/A,3.710,3.710,3.710,3.710,3.710
