Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,131.000,NaN,131.000,131.000,131.000,131.000,131.000
llm,1,136.000,NaN,136.000,136.000,136.000,136.000,136.000
rule,1,115.000,NaN,115.000,115.000,115.000,115.000,115.000
schwartz,1,125.000,NaN,125.000,125.000,125.000,125.000,125.000
