Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,0.023,NaN,0.023,0.023,0.023,0.023,0.023
llm,1,0.023,NaN,0.023,0.023,0.023,0.023,0.023
rule,1,0.023,NaN,0.023,0.023,0.023,0.023,0.023
schwartz,1,0.021,NaN,0.021,0.021,0.021,0.021,0.021
