Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
rule,1,0.400,NaN,0.400,0.400,0.400,0.400,0.400
schwartz,1,0.125,NaN,0.125,0.125,0.125,0.125,0.125
