Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,53.000,NaN,53.000,53.000,53.000,53.000,53.000
llm,1,51.000,NaN,51.000,51.000,51.000,51.000,51.000
rule,1,56.000,NaN,56.000,56.000,56.000,56.000,56.000
schwartz,1,54.000,NaN,54.000,54.000,54.000,54.000,54.000
