Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,0.000,NaN,0.000,0.000,0.000,0.000,0.000
llm,1,0.000,NaN,0.000,0.000,0.000,0.000,0.000
rule,1,0.000,NaN,0.000,0.000,0.000,0.000,0.000
schwartz,1,0.000,NaN,0.000,0.000,0.000,0.000,0.000
